fold,diet,inner_best_score,params,metrics
0,Control,0.2636965390952156,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.10030112169961096, 'rmse': 0.12171510847628877, 'r2': -0.004266765438179387, 'max_error': 0.15885531282978316, 'nlpd': -0.6849500563047223, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 0.5003173579194407, 'median_interval_width_95': 0.5003173579194407, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.1276319790610818, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,0.25149130677752113,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.2773904505384062, 'rmse': 0.2992424213523858, 'r2': -0.5843397372947412, 'max_error': 0.4181886911816315, 'nlpd': 4.55657410697967, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 0.33599198939321934, 'median_interval_width_95': 0.33599198939321934, 'calibration_error_95': 0.6166666666666667, 'sharpness': 0.08571224219214779, '_inside_50': 0, '_inside_90': 0, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
2,Hoja30,0.25446095289098547,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.15107944888080901, 'rmse': 0.17451229760387593, 'r2': -2.9916605023917917, 'max_error': 0.2303307312943783, 'nlpd': 0.2613511023104851, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 0.370989590780717, 'median_interval_width_95': 0.370989590780717, 'calibration_error_95': 0.6166666666666667, 'sharpness': 0.09464020172977476, '_inside_50': 1, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
3,Hoja50,0.22985178830521816,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.4606832228153095, 'rmse': 0.5690846592658199, 'r2': -1.9012114156408, 'max_error': 0.7947914651982149, 'nlpd': 9.172048361695518, 'coverage_50': 0.0, 'coverage_90': 0.5, 'coverage_95': 0.5, 'mean_interval_width_95': 0.4907689971751014, 'median_interval_width_95': 0.4907689971751014, 'calibration_error_95': 0.44999999999999996, 'sharpness': 0.12519617274875036, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.5, '_inside95': 1}"
4,Orujo30,0.2398920989444532,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.31892754731461476, 'rmse': 0.40522742265350964, 'r2': -0.1870131135534876, 'max_error': 0.6576931258015404, 'nlpd': 6.462389039335172, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 0.40162144148531315, 'median_interval_width_95': 0.40162144148531315, 'calibration_error_95': 0.6166666666666667, 'sharpness': 0.10245444935849825, '_inside_50': 1, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
5,Orujo50,0.23273326239249523,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.3609231482589302, 'rmse': 0.37456781452183757, 'r2': -0.39555834971583326, 'max_error': 0.4872810873242839, 'nlpd': 13.694627841561319, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 0.2639385063005472, 'median_interval_width_95': 0.2639385063005472, 'calibration_error_95': 0.95, 'sharpness': 0.06733125160728246, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
6,Orujo70,0.2638027526239274,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.06659290211091366, 'rmse': 0.07243933612034464, 'r2': -5.4556853782868675, 'max_error': 0.10373046272428366, 'nlpd': -1.1144103421203806, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 0.39761416040804587, 'median_interval_width_95': 0.39761416040804587, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.1014321837775627, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
7,Orujo90,0.24136216360747625,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.3084617509488834, 'rmse': 0.3295918591200991, 'r2': -7.057383998135734, 'max_error': 0.42457437644582185, 'nlpd': 2.1953611690154595, 'coverage_50': 0.0, 'coverage_90': 0.5, 'coverage_95': 0.5, 'mean_interval_width_95': 0.5002527200831425, 'median_interval_width_95': 0.5002527200831425, 'calibration_error_95': 0.44999999999999996, 'sharpness': 0.1276154898171282, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.5, '_inside95': 1}"
8,Quinoa15,0.2685672120672961,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.08185238484294215, 'rmse': 0.1113324981794236, 'r2': -0.815914844303401, 'max_error': 0.18635510503961705, 'nlpd': -0.6825037397726345, 'coverage_50': 0.6666666666666666, 'coverage_90': 0.6666666666666666, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 0.3305243155184178, 'median_interval_width_95': 0.3305243155184178, 'calibration_error_95': 0.2833333333333333, 'sharpness': 0.0843174274281678, '_inside_50': 2, '_inside_90': 2, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
9,Quinoa30,0.23552134933952665,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.29684168465214733, 'rmse': 0.29702891111538876, 'r2': -792.4843950900614, 'max_error': 0.3085149561303666, 'nlpd': 5.337250865005092, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 0.3123478967802639, 'median_interval_width_95': 0.31234789678026387, 'calibration_error_95': 0.95, 'sharpness': 0.07968058591333262, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
