fold,diet,inner_best_score,params,metrics
0,Control,0.3342767305746294,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.13161381806971964, 'rmse': 0.15852275335968216, 'r2': -0.7035046507116174, 'max_error': 0.25279340194010747, 'nlpd': 0.3405674878880897, 'coverage_50': 1.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 2.104612100501072, 'median_interval_width_95': 2.104612100501071, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.5368908419645592, '_inside_50': 3, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,0.33784750100441663,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.19030620270260412, 'rmse': 0.2571469129811274, 'r2': -0.16994278808078755, 'max_error': 0.4232250943038949, 'nlpd': 0.07810293303010153, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 1.1565320429556962, 'median_interval_width_95': 1.1565320429556962, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.2950336844274735, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
2,Hoja30,0.3228742918043108,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.1860512051313036, 'rmse': 0.20553489502190417, 'r2': -4.536976176519583, 'max_error': 0.2653024875448733, 'nlpd': 0.01426931393656076, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.6666666666666666, 'coverage_95': 1.0, 'mean_interval_width_95': 0.5567753538359239, 'median_interval_width_95': 0.5567753538359239, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.1420345290397765, '_inside_50': 1, '_inside_90': 2, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
3,Hoja50,0.3012580957388227,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.369948726269157, 'rmse': 0.4984880918300515, 'r2': -1.2260514444374642, 'max_error': 0.7040569686520624, 'nlpd': 1.0022029596655078, 'coverage_50': 0.5, 'coverage_90': 0.5, 'coverage_95': 0.5, 'mean_interval_width_95': 1.246280960077619, 'median_interval_width_95': 1.246280960077619, 'calibration_error_95': 0.44999999999999996, 'sharpness': 0.3179288163463314, '_inside_50': 1, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.5, '_inside95': 1}"
4,Orujo30,0.2529861816213716,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.490801506038604, 'rmse': 0.6158119224734677, 'r2': -1.7412841044572702, 'max_error': 0.987649804320887, 'nlpd': 1.9422197458705497, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.6666666666666666, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 1.1346845457632615, 'median_interval_width_95': 1.134684545763261, 'calibration_error_95': 0.2833333333333333, 'sharpness': 0.28946034330695447, '_inside_50': 1, '_inside_90': 2, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
5,Orujo50,0.2973606402862263,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.3858785154509042, 'rmse': 0.41924348192321514, 'r2': -0.7483151619975326, 'max_error': 0.5621471889002059, 'nlpd': 1.3984889142403336, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 0.8104991250447396, 'median_interval_width_95': 0.8104991250447396, 'calibration_error_95': 0.6166666666666667, 'sharpness': 0.20675998087876013, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
6,Orujo70,0.33768909961704063,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.16533662721752, 'rmse': 0.1677767656908063, 'r2': -33.63036505680748, 'max_error': 0.20247418783089, 'nlpd': -0.36618215129751946, 'coverage_50': 0.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 0.6573405981640795, 'median_interval_width_95': 0.657340598164081, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.16768892810308153, '_inside_50': 0, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
7,Orujo90,0.30002285186710037,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.33673346536387516, 'rmse': 0.35619035429915336, 'r2': -8.410342242336531, 'max_error': 0.4528460908608136, 'nlpd': 0.43778381523256327, 'coverage_50': 0.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 1.1314567221117504, 'median_interval_width_95': 1.1314567221117504, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.2886369189060588, '_inside_50': 0, '_inside_90': 2, '_inside_95': 2, 'coverage95': 1.0, '_inside95': 2}"
8,Quinoa15,0.345545567345646,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.23854398211361003, 'rmse': 0.25244593636211726, 'r2': -8.336591091522793, 'max_error': 0.35027197567392965, 'nlpd': 0.042381041750609326, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 0.9904017508936418, 'median_interval_width_95': 0.9904017508936414, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.2526535078810311, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,0.2500736201573339,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.3925568918882962, 'rmse': 0.39269848695948406, 'r2': -1385.9455128839106, 'max_error': 0.40423016336651596, 'nlpd': 1.956840959737226, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 0.6457581460951008, 'median_interval_width_95': 0.6457581460951002, 'calibration_error_95': 0.95, 'sharpness': 0.16473422094262777, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
