fold,diet,inner_best_score,params,metrics
0,Control,0.2634163670553836,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.12855676263725554, 'rmse': 0.14757561720138881, 'r2': -0.47634999249231713, 'max_error': 0.23031171819986151, 'nlpd': -0.49426404409044933, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 0.5870227223126999, 'median_interval_width_95': 0.5870227223126999, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.14975069446752548, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,0.25660132036830835,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.27720399714735433, 'rmse': 0.2989030481458987, 'r2': -0.5807481505176397, 'max_error': 0.417629331008476, 'nlpd': 2.429532215290131, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 0.42945502233162536, 'median_interval_width_95': 0.42945502233162536, 'calibration_error_95': 0.6166666666666667, 'sharpness': 0.10955485263561872, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
2,Hoja30,0.26366047422444117,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.13583665224235789, 'rmse': 0.16149655796104778, 'r2': -2.418440812274487, 'max_error': 0.21508793465592713, 'nlpd': -0.3017971740439774, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.6666666666666666, 'coverage_95': 1.0, 'mean_interval_width_95': 0.47399246297905834, 'median_interval_width_95': 0.47399246297905834, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.12091644463751489, '_inside_50': 1, '_inside_90': 2, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
3,Hoja50,0.2325573031226964,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.479105036212673, 'rmse': 0.5840975546537932, 'r2': -2.056302922067606, 'max_error': 0.8132132785955783, 'nlpd': 9.440351979031501, 'coverage_50': 0.0, 'coverage_90': 0.5, 'coverage_95': 0.5, 'mean_interval_width_95': 0.49762542193928555, 'median_interval_width_95': 0.49762542193928555, 'calibration_error_95': 0.44999999999999996, 'sharpness': 0.12694526069879733, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.5, '_inside95': 1}"
4,Orujo30,0.2429295662007595,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.31335354086689, 'rmse': 0.39888543388705794, 'r2': -0.15014929358722617, 'max_error': 0.6409711064583661, 'nlpd': 2.952222897251071, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 0.5534531668695397, 'median_interval_width_95': 0.5534531668695397, 'calibration_error_95': 0.2833333333333333, 'sharpness': 0.1411870323646785, '_inside_50': 1, '_inside_90': 1, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
5,Orujo50,0.24450444224726536,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.3575233458974912, 'rmse': 0.3692386889336305, 'r2': -0.35613050732549345, 'max_error': 0.4770816802399669, 'nlpd': 4.933209568327393, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 0.4085589551736535, 'median_interval_width_95': 0.4085589551736535, 'calibration_error_95': 0.95, 'sharpness': 0.10422422325858509, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
6,Orujo70,0.275600544767975,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.042086739818234443, 'rmse': 0.05083440247047566, 'r2': -2.1791343362424063, 'max_error': 0.07922430043160444, 'nlpd': -1.0986362394809108, 'coverage_50': 1.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 0.4778640677685824, 'median_interval_width_95': 0.4778640677685825, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.12190409892055676, '_inside_50': 3, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
7,Orujo90,0.24555652250695242,"{'alpha': 1e-10, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.4732085354833344, 'rmse': 0.4872457899808622, 'r2': -16.60910568806895, 'max_error': 0.5893211609802729, 'nlpd': 0.7683487377326834, 'coverage_50': 0.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 1.5015866167672174, 'median_interval_width_95': 1.5015866167672174, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.38305781039980036, '_inside_50': 0, '_inside_90': 2, '_inside_95': 2, 'coverage95': 1.0, '_inside95': 2}"
8,Quinoa15,0.2731977338737569,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.0788974705300114, 'rmse': 0.10559549469170124, 'r2': -0.633587300226141, 'max_error': 0.1774903621008248, 'nlpd': -0.8274048454309327, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 0.4321169087385, 'median_interval_width_95': 0.43211690873850006, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.11023390529043368, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,0.24180716252984213,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.2994402932677776, 'rmse': 0.29962589594953454, 'r2': -806.4202463158355, 'max_error': 0.31111356474599683, 'nlpd': 3.037459506864742, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 0.39537214129693093, 'median_interval_width_95': 0.395372141296931, 'calibration_error_95': 0.95, 'sharpness': 0.10086024012676813, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
