fold,diet,inner_best_score,params,metrics
0,Control,0.2632034289564166,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.11643832903987768, 'rmse': 0.1304038790977907, 'r2': -0.15276592523503396, 'max_error': 0.19395641740772795, 'nlpd': -0.6145710044819966, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 0.5435020446650435, 'median_interval_width_95': 0.5435020446650435, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.13864848078189884, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,0.2539714503843038,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.27700482327149895, 'rmse': 0.29854125331049436, 'r2': -0.5769237639804017, 'max_error': 0.41703180938090956, 'nlpd': 2.907819846987407, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 0.4004563705157855, 'median_interval_width_95': 0.4004563705157855, 'calibration_error_95': 0.6166666666666667, 'sharpness': 0.1021572373764759, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
2,Hoja30,0.2610666271788288,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.13896282177104538, 'rmse': 0.16413472507493995, 'r2': -2.531038623034309, 'max_error': 0.21821410418461462, 'nlpd': -0.20453076633473252, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.6666666666666666, 'coverage_95': 1.0, 'mean_interval_width_95': 0.44216856258780896, 'median_interval_width_95': 0.44216856258780896, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.11279810270097168, '_inside_50': 1, '_inside_90': 2, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
3,Hoja50,0.23024005000321215,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.4748244473296044, 'rmse': 0.5805915719419793, 'r2': -2.0197227779855003, 'max_error': 0.8089326897125098, 'nlpd': 9.428824044541619, 'coverage_50': 0.0, 'coverage_90': 0.5, 'coverage_95': 0.5, 'mean_interval_width_95': 0.4947735924800937, 'median_interval_width_95': 0.4947735924800937, 'calibration_error_95': 0.44999999999999996, 'sharpness': 0.12621775318369738, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.5, '_inside95': 1}"
4,Orujo30,0.23918992870981054,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.3201153108685817, 'rmse': 0.40665493339510356, 'r2': -0.19539092053546958, 'max_error': 0.6612564164634411, 'nlpd': 3.8399962783941723, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 0.5056629262636448, 'median_interval_width_95': 0.5056629262636448, 'calibration_error_95': 0.2833333333333333, 'sharpness': 0.12899564445501144, '_inside_50': 1, '_inside_90': 1, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
5,Orujo50,0.24126660731351796,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.3598059516738447, 'rmse': 0.37279425189346327, 'r2': -0.3823738193393771, 'max_error': 0.48392949756902737, 'nlpd': 6.363004901362268, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 0.36988032381122987, 'median_interval_width_95': 0.3698803238112299, 'calibration_error_95': 0.95, 'sharpness': 0.09435722546204846, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
6,Orujo70,0.27204189546970253,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.05041922549421388, 'rmse': 0.05792185343580546, 'r2': -3.1274168642004847, 'max_error': 0.08755678610758388, 'nlpd': -1.1087017183972885, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 0.45584804262812506, 'median_interval_width_95': 0.45584804262812506, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.1162877659765625, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
7,Orujo90,0.24388602680615334,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.3399882791016755, 'rmse': 0.3592689406646657, 'r2': -8.573714150395578, 'max_error': 0.45610090459861397, 'nlpd': 2.4112545961709393, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.5, 'mean_interval_width_95': 0.5332831898552389, 'median_interval_width_95': 0.5332831898552389, 'calibration_error_95': 0.44999999999999996, 'sharpness': 0.13604163006511197, '_inside_50': 0, '_inside_90': 0, '_inside_95': 1, 'coverage95': 0.5, '_inside95': 1}"
8,Quinoa15,0.2710741587199694,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.0800499978820602, 'rmse': 0.10778274882248468, 'r2': -0.701962868917019, 'max_error': 0.18094794415697169, 'nlpd': -0.8069117621155657, 'coverage_50': 0.6666666666666666, 'coverage_90': 0.6666666666666666, 'coverage_95': 1.0, 'mean_interval_width_95': 0.40525621156911024, 'median_interval_width_95': 0.40525621156911024, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.10338168662477303, '_inside_50': 2, '_inside_90': 2, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,0.240827823967875,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.2935156509718724, 'rmse': 0.29370499767064, 'r2': -774.824726438991, 'max_error': 0.30518892245009166, 'nlpd': 3.1848608543247288, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 0.37954758708434183, 'median_interval_width_95': 0.37954758708434183, 'calibration_error_95': 0.95, 'sharpness': 0.09682336405212803, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
