fold,diet,inner_best_score,params,metrics
0,Control,2.191808474191547,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.35565171156622455, 'rmse': 0.4683129688817914, 'r2': -1.1549298409518705, 'max_error': 0.7570006947545913, 'nlpd': 1.479043571487116, 'coverage_50': 1.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 6.603172935971666, 'median_interval_width_95': 6.603172935971665, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.684482891829507, '_inside_50': 3, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,1.4535401419133052,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.711630039553816, 'rmse': 3.8610866204280136, 'r2': -12.172018721535835, 'max_error': 4.734389197163292, 'nlpd': 5.68544990725787, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 5.036239449544593, 'median_interval_width_95': 5.036239449544592, 'calibration_error_95': 0.6166666666666667, 'sharpness': 1.2847549616185185, '_inside_50': 0, '_inside_90': 0, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
2,Hoja30,2.1079215136649996,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.29454978402773, 'rmse': 3.3751998409910002, 'r2': -20.177991714960637, 'max_error': 4.239283010670938, 'nlpd': 7.978588343901541, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 3.4926681446749597, 'median_interval_width_95': 3.4926681446749592, 'calibration_error_95': 0.95, 'sharpness': 0.890986771600755, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
3,Hoja50,2.0761973971278236,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.565359674982229, 'rmse': 2.625888628378483, 'r2': -20.944093148641965, 'max_error': 3.2588351438223846, 'nlpd': 2.4807839732490833, 'coverage_50': 0.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 7.768399085289825, 'median_interval_width_95': 7.768399085289824, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.9817344605331184, '_inside_50': 0, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
4,Orujo30,2.1521790883262213,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.3137099180838945, 'rmse': 1.7713795883882766, 'r2': -1.2223035021154436, 'max_error': 2.984367180025558, 'nlpd': 2.079592859570378, 'coverage_50': 0.6666666666666666, 'coverage_90': 0.6666666666666666, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 5.29417901015028, 'median_interval_width_95': 5.29417901015028, 'calibration_error_95': 0.2833333333333333, 'sharpness': 1.350555869936296, '_inside_50': 2, '_inside_90': 2, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
5,Orujo50,1.6037793796971975,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.736116321176817, 'rmse': 3.8169588701323907, 'r2': -22.860039261348124, 'max_error': 4.7504486924677245, 'nlpd': 12.998801829958083, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 3.011400472917613, 'median_interval_width_95': 3.011400472917614, 'calibration_error_95': 0.95, 'sharpness': 0.768214406356534, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
6,Orujo70,2.1291042840850385,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.6944105582488678, 'rmse': 1.7794344553079358, 'r2': -9.720438404285689, 'max_error': 2.234726201567913, 'nlpd': 2.4674214220553083, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 3.984864871491093, 'median_interval_width_95': 3.984864871491093, 'calibration_error_95': 0.2833333333333333, 'sharpness': 1.0165471610946666, '_inside_50': 0, '_inside_90': 1, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
7,Orujo90,2.2519652776108234,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.8340458731575957, 'rmse': 2.0452675762670407, 'r2': -0.014205281158139016, 'max_error': 3.1141496866595624, 'nlpd': 2.147265196811739, 'coverage_50': 0.6666666666666666, 'coverage_90': 0.6666666666666666, 'coverage_95': 1.0, 'mean_interval_width_95': 7.18935735502577, 'median_interval_width_95': 7.18935735502577, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.834019733424941, '_inside_50': 2, '_inside_90': 2, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
8,Quinoa15,2.0858591069795867,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.0152949819928463, 'rmse': 1.0766142267035472, 'r2': -0.004667813901818807, 'max_error': 1.4128653942926555, 'nlpd': 1.4931716878168342, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 4.136090853520968, 'median_interval_width_95': 4.136090853520967, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.0551252177349408, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,2.0953041940112165,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.6118102297356446, 'rmse': 0.6874595559397718, 'r2': -0.20379406422031576, 'max_error': 1.0410313239272213, 'nlpd': 1.1647750642380006, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 3.9904045541040802, 'median_interval_width_95': 3.9904045541040802, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.0179603454347144, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
