fold,diet,inner_best_score,params,metrics
0,Control,2.713268067242496,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.7754780669371067, 'rmse': 0.8385349083369488, 'r2': -5.908806985987857, 'max_error': 1.1896340787465896, 'nlpd': 2.5953370535725186, 'coverage_50': 1.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 20.694660893569658, 'median_interval_width_95': 20.694660893569647, 'calibration_error_95': 0.050000000000000044, 'sharpness': 5.279250227951443, '_inside_50': 3, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,1.3361919809323906,"{'alpha': 0.01, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 7.066294127173516, 'rmse': 7.145929262990002, 'r2': -44.11808679922425, 'max_error': 8.089053284782977, 'nlpd': 8.770737965494968, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 7.371448881532345, 'median_interval_width_95': 7.371448881532345, 'calibration_error_95': 0.95, 'sharpness': 1.8804716534521289, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
2,Hoja30,2.8317806201330233,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.368940711412275, 'rmse': 3.447851099482047, 'r2': -21.099517614613696, 'max_error': 4.313673938055484, 'nlpd': 5.624990493986696, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 4.468014266345425, 'median_interval_width_95': 4.468014266345417, 'calibration_error_95': 0.95, 'sharpness': 1.1397995577411801, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
3,Hoja50,2.980973805865334,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.592235290139943, 'rmse': 3.635708350012319, 'r2': -41.06715178122049, 'max_error': 4.271614078131954, 'nlpd': 2.7439728895070594, 'coverage_50': 0.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 11.972607554670807, 'median_interval_width_95': 11.972607554670805, 'calibration_error_95': 0.050000000000000044, 'sharpness': 3.054236621089492, '_inside_50': 0, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
4,Orujo30,2.9022341204890143,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.6286003910073306, 'rmse': 2.8846996226454014, 'r2': -4.893608648341397, 'max_error': 4.299257652948995, 'nlpd': 2.4794109690449826, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 11.684884540731934, 'median_interval_width_95': 11.684884540731938, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.980837893043861, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
5,Orujo50,2.158004248876377,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 4.133420312512638, 'rmse': 4.206634442260299, 'r2': -27.980491068381582, 'max_error': 5.147752683803542, 'nlpd': 3.819405675391723, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 7.85067728575983, 'median_interval_width_95': 7.8506772857598355, 'calibration_error_95': 0.6166666666666667, 'sharpness': 2.002723797387712, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
6,Orujo70,3.1765770387372636,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.1486104758805937, 'rmse': 2.2162776942196656, 'r2': -15.630178307458728, 'max_error': 2.688926119199632, 'nlpd': 2.4367568304164053, 'coverage_50': 0.0, 'coverage_90': 0.6666666666666666, 'coverage_95': 1.0, 'mean_interval_width_95': 5.780551277452133, 'median_interval_width_95': 5.780551277452164, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.4746304279214624, '_inside_50': 0, '_inside_90': 2, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
7,Orujo90,3.2621529373039477,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.3264654028609577, 'rmse': 2.3770275427503256, 'r2': -0.3699162854073548, 'max_error': 2.6809200535159476, 'nlpd': 2.33430243911623, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 11.849205387719442, 'median_interval_width_95': 11.849205387719383, 'calibration_error_95': 0.050000000000000044, 'sharpness': 3.0227564764590404, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
8,Quinoa15,2.696731838700542,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.0075417064524679, 'rmse': 1.0752792107111875, 'r2': -0.0021777557493793953, 'max_error': 1.4361252209138087, 'nlpd': 1.9132407104581024, 'coverage_50': 1.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 9.626640862417666, 'median_interval_width_95': 9.626640862417661, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.4557757302085883, '_inside_50': 3, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,2.7105141977747804,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.5810115856209078, 'rmse': 0.6548801342897166, 'r2': -0.0923995784088909, 'max_error': 0.9486353915830108, 'nlpd': 1.5208743852317115, 'coverage_50': 1.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 6.641402086890586, 'median_interval_width_95': 6.6414020868905785, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.6942352262475984, '_inside_50': 3, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
