fold,diet,inner_best_score,params,metrics
0,Control,2.5478662845075832,"{'alpha': 1.0, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.488985546184113, 'rmse': 2.5093472476547696, 'r2': -60.87031019335048, 'max_error': 2.851040772060891, 'nlpd': 2.344230123042289, 'coverage_50': 0.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 10.596262576783671, 'median_interval_width_95': 10.596262576783671, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.703128208363181, '_inside_50': 0, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,1.9403241597905967,"{'alpha': 0.01, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 6.033621545289965, 'rmse': 6.1266941568612046, 'r2': -32.16543147309187, 'max_error': 7.0563807028994425, 'nlpd': 6.5121170086424245, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 7.652979053024505, 'median_interval_width_95': 7.652979053024504, 'calibration_error_95': 0.95, 'sharpness': 1.9522905747511488, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
2,Hoja30,2.060164232892101,"{'alpha': 1.0, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.293722366370641, 'rmse': 3.374392199184726, 'r2': -20.16785768682802, 'max_error': 4.23845559301385, 'nlpd': 5.4626936665809245, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 4.450528469447692, 'median_interval_width_95': 4.450528469447692, 'calibration_error_95': 0.95, 'sharpness': 1.1353388952672683, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
3,Hoja50,1.6627737908257099,"{'alpha': 1e-05, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 5.392002401029469, 'rmse': 5.421061770477261, 'r2': -92.52629816175802, 'max_error': 6.085477869869624, 'nlpd': 3.868012487408821, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 10.800726876035911, 'median_interval_width_95': 10.800726876035911, 'calibration_error_95': 0.2833333333333333, 'sharpness': 2.755287468376508, '_inside_50': 0, '_inside_90': 0, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
4,Orujo30,2.7921446736875675,"{'alpha': 1e-05, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.122010053855641, 'rmse': 2.432052336186671, 'r2': -3.189150195072342, 'max_error': 3.7926673157973028, 'nlpd': 2.6603502361889304, 'coverage_50': 0.0, 'coverage_90': 0.6666666666666666, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 5.8043755884302115, 'median_interval_width_95': 5.8043755884302115, 'calibration_error_95': 0.2833333333333333, 'sharpness': 1.4807080582730132, '_inside_50': 0, '_inside_90': 2, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
5,Orujo50,1.972444459245312,"{'alpha': 1.0, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.992571222762526, 'rmse': 4.06832088456036, 'r2': -26.10607238787899, 'max_error': 5.006903594053433, 'nlpd': 10.319572439891116, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 3.6648710183165534, 'median_interval_width_95': 3.6648710183165534, 'calibration_error_95': 0.95, 'sharpness': 0.9349160761011616, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
6,Orujo70,2.7101445796977033,"{'alpha': 1.0, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.7055349833039438, 'rmse': 0.8316725602094674, 'r2': -1.3418188656163297, 'max_error': 1.169854686249316, 'nlpd': 1.4894258996148204, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 5.976168196782505, 'median_interval_width_95': 5.976168196782505, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.5245327032608433, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
7,Orujo90,2.479060741138926,"{'alpha': 1.0, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.5284383061910276, 'rmse': 2.741215909766629, 'r2': -0.8218477817234862, 'max_error': 3.2868387635061005, 'nlpd': 2.7595710027217955, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.3333333333333333, 'coverage_95': 1.0, 'mean_interval_width_95': 6.623064589881942, 'median_interval_width_95': 6.623064589881942, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.68955729333723, '_inside_50': 1, '_inside_90': 1, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
8,Quinoa15,2.8967471778804432,"{'alpha': 1.0, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.9302289167970793, 'rmse': 1.0893892859577923, 'r2': -0.028651964370664418, 'max_error': 1.6680635898799565, 'nlpd': 1.514553011897376, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.6666666666666666, 'coverage_95': 1.0, 'mean_interval_width_95': 3.876555628754874, 'median_interval_width_95': 3.8765556287548746, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.9889172522333864, '_inside_50': 1, '_inside_90': 2, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,2.8125156041944375,"{'alpha': 1e-10, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.627476524124931, 'rmse': 0.708094241928903, 'r2': -0.2771444392132363, 'max_error': 1.0880302070950805, 'nlpd': 1.3764677371599758, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 5.437551985840288, 'median_interval_width_95': 5.437551985840288, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.3871306086327264, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
10,Quinoa50,2.8911656813702264,"{'alpha': 1e-05, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.0347732030528067, 'rmse': 1.1401986279731555, 'r2': -0.005390543758320154, 'max_error': 1.677393346289687, 'nlpd': 1.5980944764172946, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 5.660419096702209, 'median_interval_width_95': 5.660419096702209, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.4439844634444412, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
