fold,diet,inner_best_score,params,metrics
0,Control,2.026365199114509,{'strategy': 'median'},"{'n_samples': 3, 'mae': 5.215563119570521, 'rmse': 5.245071533704855, 'r2': -88.1248736205147, 'max_error': 5.943598747245424, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
1,Hoja15,2.3380085559640604,{'strategy': 'median'},"{'n_samples': 3, 'mae': 1.4080736543125407, 'rmse': 1.4800816416867222, 'r2': -0.08450276461613693, 'max_error': 1.9196524347598558, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
2,Hoja30,2.3576759414022623,{'strategy': 'median'},"{'n_samples': 3, 'mae': 1.2113997999305208, 'rmse': 1.30591910551671, 'r2': -0.764812671515219, 'max_error': 1.6318833654096956, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
3,Hoja50,2.2312820629869576,{'strategy': 'median'},"{'n_samples': 3, 'mae': 2.6486633091973992, 'rmse': 2.969513849348751, 'r2': -3.8918429489599804, 'max_error': 3.7953074400603093, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
4,Orujo30,2.507811426117116,{'strategy': 'median'},"{'n_samples': 3, 'mae': 0.5538063834078338, 'rmse': 0.5835955327075041, 'r2': -0.004054445019034736, 'max_error': 0.7750819788379442, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
5,Orujo50,2.447076443615124,{'strategy': 'median'},"{'n_samples': 3, 'mae': 0.4907195029157349, 'rmse': 0.5363080952618726, 'r2': -5.143139934909928, 'max_error': 0.6480590468549394, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
6,Orujo70,1.8415569209384735,{'strategy': 'median'},"{'n_samples': 3, 'mae': 6.5459147296822415, 'rmse': 6.647206336348743, 'r2': -32.06414617521375, 'max_error': 7.99786646874567, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
7,Orujo90,2.280578659945495,{'strategy': 'median'},"{'n_samples': 3, 'mae': 2.2503127756626573, 'rmse': 3.5108171242063126, 'r2': -0.6973226239438197, 'max_error': 6.055224523400499, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
8,Quinoa15,2.321047084627873,{'strategy': 'median'},"{'n_samples': 3, 'mae': 2.268744264436885, 'rmse': 2.3084217169690255, 'r2': -28.342009981628348, 'max_error': 2.7076590478983933, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
9,Quinoa30,2.3520784916776996,{'strategy': 'median'},"{'n_samples': 3, 'mae': 1.958430193938616, 'rmse': 2.1108877434809585, 'r2': -6.1822367807706735, 'max_error': 2.9532276515920746, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
10,Quinoa50,2.4810730119359166,{'strategy': 'median'},"{'n_samples': 3, 'mae': 0.6684849913564461, 'rmse': 0.8001929710999076, 'r2': -2.310173807531073, 'max_error': 1.286087311469207, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
