fold,diet,inner_best_score,params,metrics
0,Control,1.9012095988812276,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 4.069675022548738, 'rmse': 4.107423952870446, 'r2': -53.655661966308614, 'max_error': 4.7977106502236415, 'nlpd': 5.500597345821837, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 5.53082877815958, 'median_interval_width_95': 5.530828778159579, 'calibration_error_95': 0.95, 'sharpness': 1.4109257087141784, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
1,Hoja15,1.9837991532661412,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.6586344961749802, 'rmse': 1.8376019035073448, 'r2': -0.6717147865305908, 'max_error': 2.6713349603471723, 'nlpd': 2.411185091723618, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.6666666666666666, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 4.308220480032755, 'median_interval_width_95': 4.308220480032755, 'calibration_error_95': 0.2833333333333333, 'sharpness': 1.0990358367430497, '_inside_50': 1, '_inside_90': 2, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
2,Hoja30,2.0364791718589177,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.9681342616425374, 'rmse': 0.9915757676252324, 'r2': -0.017461235186363, 'max_error': 1.2573535016780362, 'nlpd': 1.414836332989596, 'coverage_50': 0.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 3.6438466705356345, 'median_interval_width_95': 3.6438466705356345, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.929552722075417, '_inside_50': 0, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
3,Hoja50,2.051768838723658,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.395685439983503, 'rmse': 1.4065040164546034, 'r2': -0.0974474882977403, 'max_error': 1.565760310838595, 'nlpd': 1.8120485141128657, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 7.0566753052446485, 'median_interval_width_95': 7.0566753052446485, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.8001722717460835, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
4,Orujo30,2.1756669791879277,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.6331363745851348, 'rmse': 0.6441076930019803, 'r2': -0.22306719586208268, 'max_error': 0.7999069755914849, 'nlpd': 1.2139162263086662, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 4.497250270901055, 'median_interval_width_95': 4.497250270901055, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.1472577221686364, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
5,Orujo50,2.1422916617392844,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.4810973736935307, 'rmse': 1.4968200201972934, 'r2': -46.85208548944234, 'max_error': 1.7870650002220358, 'nlpd': 2.6633181332543887, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 2.9010187953468622, 'median_interval_width_95': 2.9010187953468622, 'calibration_error_95': 0.2833333333333333, 'sharpness': 0.7400558151395056, '_inside_50': 0, '_inside_90': 0, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
6,Orujo70,1.346843915405285,"{'alpha': 1e-05, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 5.268777481838582, 'rmse': 5.394104984411525, 'r2': -20.7729754035495, 'max_error': 6.72072922090201, 'nlpd': 8.66515576631186, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 5.4930803382382605, 'median_interval_width_95': 5.4930803382382605, 'calibration_error_95': 0.95, 'sharpness': 1.4012960046526173, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
7,Orujo90,1.6915751064465383,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.976127871401594, 'rmse': 4.80328243402845, 'r2': -2.1770513338178277, 'max_error': 6.065342629689681, 'nlpd': 5.393049875063752, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 6.710456734414674, 'median_interval_width_95': 6.710456734414674, 'calibration_error_95': 0.6166666666666667, 'sharpness': 1.7118512077588453, '_inside_50': 1, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
8,Quinoa15,2.149705862688664,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.5463888606267261, 'rmse': 0.645555352489986, 'r2': -1.2947032483757082, 'max_error': 0.9238183070303814, 'nlpd': 1.1437629940929888, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 4.029991503950385, 'median_interval_width_95': 4.029991503950384, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.0280590571302002, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,2.111243240067222,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.8460474344961583, 'rmse': 1.0375025258787802, 'r2': -0.735033112581164, 'max_error': 1.670084989122211, 'nlpd': 1.4592811081685406, 'coverage_50': 0.6666666666666666, 'coverage_90': 0.6666666666666666, 'coverage_95': 1.0, 'mean_interval_width_95': 3.8369547225573464, 'median_interval_width_95': 3.836954722557347, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.9788149802442211, '_inside_50': 2, '_inside_90': 2, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
