fold,diet,inner_best_score,params,metrics
0,Control,2.141177519598241,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.7328211433614307, 'rmse': 3.773940967713056, 'r2': -45.140925464115334, 'max_error': 4.46085677103634, 'nlpd': 2.7749602843055334, 'coverage_50': 0.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 17.65629225867362, 'median_interval_width_95': 17.656292258673616, 'calibration_error_95': 0.050000000000000044, 'sharpness': 4.504156188437148, '_inside_50': 0, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,2.487800199955466,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.2030355398434864, 'rmse': 1.541195359943493, 'r2': -0.17591168345324348, 'max_error': 2.501634437297584, 'nlpd': 2.141295773448767, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 11.628951398227821, 'median_interval_width_95': 11.628951398227828, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.9665692342417906, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
2,Hoja30,2.950440295433038,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.9140040681997773, 'rmse': 0.9835672765196741, 'r2': -0.0010924928154194546, 'max_error': 1.4197440820063054, 'nlpd': 1.4535545443447058, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 4.924348332062371, 'median_interval_width_95': 4.924348332062371, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.2562113091995843, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
3,Hoja50,2.680913131533022,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.6842045455947456, 'rmse': 1.8582198926365052, 'r2': -0.9155610840366324, 'max_error': 2.431317627672314, 'nlpd': 2.3169723463583445, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 13.802835032331807, 'median_interval_width_95': 13.802835032331807, 'calibration_error_95': 0.050000000000000044, 'sharpness': 3.5211313857989297, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
4,Orujo30,2.8710539817507477,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.0144670982775725, 'rmse': 2.0969707040999874, 'r2': -11.963374627275323, 'max_error': 2.539299036154615, 'nlpd': 2.255664757699898, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 11.61707809172296, 'median_interval_width_95': 11.617078091722963, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.9635403295211638, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
5,Orujo50,2.723668698174428,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.072274316869899, 'rmse': 2.0835406371991296, 'r2': -91.71834137863723, 'max_error': 2.378241943398397, 'nlpd': 2.1530082323012003, 'coverage_50': 0.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 8.175747586539229, 'median_interval_width_95': 8.175747586539234, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.085649894525313, '_inside_50': 0, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
6,Orujo70,1.355238563664669,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 5.0923443395307775, 'rmse': 5.221908013559326, 'r2': -19.40503889210411, 'max_error': 6.544296078594201, 'nlpd': 12.109485863978994, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 4.347006553826589, 'median_interval_width_95': 4.347006553826613, 'calibration_error_95': 0.95, 'sharpness': 1.1089302433231094, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
7,Orujo90,1.8132230691318107,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 6.497525845349432, 'rmse': 7.034185908994268, 'r2': -5.81358485017274, 'max_error': 8.586740603637532, 'nlpd': 4.8533504436254935, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 11.540001904342708, 'median_interval_width_95': 11.54000190434265, 'calibration_error_95': 0.6166666666666667, 'sharpness': 2.943878036822119, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
8,Quinoa15,2.447518386062333,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.39775125401435013, 'rmse': 0.4279375666337929, 'r2': -0.008371084101668425, 'max_error': 0.5381408254238629, 'nlpd': 1.8039232296099932, 'coverage_50': 1.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 9.346188729188206, 'median_interval_width_95': 9.346188729188192, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.384231818670461, '_inside_50': 3, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,2.4281022600126687,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.7005991974365413, 'rmse': 0.7956052298560299, 'r2': -0.020292515183986337, 'max_error': 1.0436300630125679, 'nlpd': 1.5254806357508244, 'coverage_50': 1.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 6.379877871918919, 'median_interval_width_95': 6.379877871918913, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.6275198652854386, '_inside_50': 3, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
