fold,diet,inner_best_score,params,metrics
0,Control,2.296482140527383,"{'alpha': 1e-05, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 5.810157621138821, 'rmse': 5.8366607167056, 'r2': -109.36338009103726, 'max_error': 6.538193248813723, 'nlpd': 3.937481617744506, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 11.64661490206384, 'median_interval_width_95': 11.64661490206384, 'calibration_error_95': 0.2833333333333333, 'sharpness': 2.9710752301183265, '_inside_50': 0, '_inside_90': 0, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
1,Hoja15,2.3934060774932187,"{'alpha': 0.01, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.21149183237147, 'rmse': 1.4321790737365672, 'r2': -0.015439299045395538, 'max_error': 2.082133741474019, 'nlpd': 1.8554981119188172, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 7.62773229677082, 'median_interval_width_95': 7.62773229677082, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.945850075706842, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
2,Hoja30,2.2480290675894734,"{'alpha': 1e-05, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 4.1784096013792, 'rmse': 4.292488282471297, 'r2': -18.067084829402067, 'max_error': 5.565661696914418, 'nlpd': 3.6369062042513427, 'coverage_50': 0.0, 'coverage_90': 0.6666666666666666, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 8.545301154027756, 'median_interval_width_95': 8.545301154027756, 'calibration_error_95': 0.2833333333333333, 'sharpness': 2.179923763782591, '_inside_50': 0, '_inside_90': 2, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
3,Hoja50,2.217840369731289,"{'alpha': 0.01, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.88390496189908, 'rmse': 2.3132666228965215, 'r2': -1.9686102236912157, 'max_error': 3.030418876585328, 'nlpd': 2.3388605804076157, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.6666666666666666, 'coverage_95': 1.0, 'mean_interval_width_95': 6.989364446801598, 'median_interval_width_95': 6.989364446801597, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.7830011343881624, '_inside_50': 1, '_inside_90': 2, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
4,Orujo30,2.6659440393371963,"{'alpha': 1.0, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.5423175331812308, 'rmse': 0.5824219264619906, 'r2': -2.0213568055371667e-05, 'max_error': 0.8095485295177536, 'nlpd': 1.9706309292222766, 'coverage_50': 1.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 10.981041442041807, 'median_interval_width_95': 10.981041442041807, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.8012860821535224, '_inside_50': 3, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
5,Orujo50,2.1704795662039076,"{'alpha': 1.0, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.2622845584231572, 'rmse': 2.2726091097638, 'r2': -109.30906153635274, 'max_error': 2.568252184951662, 'nlpd': 2.636878793849768, 'coverage_50': 0.0, 'coverage_90': 0.6666666666666666, 'coverage_95': 1.0, 'mean_interval_width_95': 5.289422601306029, 'median_interval_width_95': 5.289422601306029, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.3493425003331707, '_inside_50': 0, '_inside_90': 2, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
6,Orujo70,1.3688151801974313,"{'alpha': 1e-05, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 5.381965119694477, 'rmse': 5.504716248757235, 'r2': -21.675082040739277, 'max_error': 6.833916858757906, 'nlpd': 8.95057729094251, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 5.501299751479393, 'median_interval_width_95': 5.501299751479393, 'calibration_error_95': 0.95, 'sharpness': 1.403392793744743, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
7,Orujo90,2.68814246479491,"{'alpha': 1.0, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.139446876473038, 'rmse': 3.245406525395036, 'r2': -0.4503946668388834, 'max_error': 3.897731892231519, 'nlpd': 3.0587504293697507, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 7.301936597509891, 'median_interval_width_95': 7.301936597509892, 'calibration_error_95': 0.2833333333333333, 'sharpness': 1.8627389279361968, '_inside_50': 0, '_inside_90': 1, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
8,Quinoa15,2.840551702499174,"{'alpha': 1e-05, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.8050852439229436, 'rmse': 0.9109185122399397, 'r2': -3.5689732360695103, 'max_error': 1.24400002738445, 'nlpd': 1.5843610468102274, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 6.582158446037748, 'median_interval_width_95': 6.582158446037747, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.6791220525606498, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,2.737764874134641,"{'alpha': 1e-10, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.8394939978030859, 'rmse': 1.024814761054238, 'r2': -0.6928566604268087, 'max_error': 1.650424679042998, 'nlpd': 1.5838273302220258, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 6.162686913480503, 'median_interval_width_95': 6.162686913480503, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.5721140085409446, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
