fold,diet,inner_best_score,params,metrics
0,Control,2.209839282787263,"{'alpha': 1e-05, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 5.695604029811811, 'rmse': 5.722637678891208, 'r2': -105.09345576700707, 'max_error': 6.423639657486714, 'nlpd': 3.8480158065929952, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 11.710920936528742, 'median_interval_width_95': 11.710920936528742, 'calibration_error_95': 0.2833333333333333, 'sharpness': 2.9874798307471284, '_inside_50': 0, '_inside_90': 0, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
1,Hoja15,2.1599877354238872,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.7006918321631332, 'rmse': 1.9200620247001208, 'r2': -0.8251133258727712, 'max_error': 2.797506968311634, 'nlpd': 2.150254993937162, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.6666666666666666, 'coverage_95': 1.0, 'mean_interval_width_95': 5.821073432925663, 'median_interval_width_95': 5.821073432925663, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.4849677124810363, '_inside_50': 1, '_inside_90': 2, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
2,Hoja30,2.256047466017105,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.8682812841453202, 'rmse': 0.9975637767887624, 'r2': -0.02978699696249154, 'max_error': 1.5569124341696874, 'nlpd': 1.4636017795697522, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 4.941097046206204, 'median_interval_width_95': 4.941097046206204, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.2604839403587256, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
3,Hoja50,2.1666693283433944,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.6776807252130783, 'rmse': 1.8447434338215598, 'r2': -0.8878772016946179, 'max_error': 2.4117461665273225, 'nlpd': 2.0372041236131335, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 7.825872460391992, 'median_interval_width_95': 7.825872460391992, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.9963960358142836, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
4,Orujo30,2.2548328568745,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.6567308922541694, 'rmse': 0.677367410336979, 'r2': -0.35263911308362306, 'max_error': 0.8706905285985886, 'nlpd': 1.4610357958241333, 'coverage_50': 1.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 6.13890532216173, 'median_interval_width_95': 6.13890532216173, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.566047276061666, '_inside_50': 3, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
5,Orujo50,2.0800060625964023,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.4329875906050407, 'rmse': 2.4425907063074797, 'r2': -126.42748277308765, 'max_error': 2.7389552171335456, 'nlpd': 2.9477201393256105, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 5.093475222947956, 'median_interval_width_95': 5.093475222947956, 'calibration_error_95': 0.2833333333333333, 'sharpness': 1.2993559242214174, '_inside_50': 0, '_inside_90': 0, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
6,Orujo70,1.3958688906099057,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 5.293586855989573, 'rmse': 5.41834054223519, 'r2': -20.969065628663536, 'max_error': 6.745538595053002, 'nlpd': 18.249045079811413, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 3.598889255615088, 'median_interval_width_95': 3.598889255615088, 'calibration_error_95': 0.95, 'sharpness': 0.9180839937793591, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
7,Orujo90,1.9633077281801246,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.2073392702188186, 'rmse': 3.363161496769896, 'r2': -0.5575551344036263, 'max_error': 4.101409073468858, 'nlpd': 3.2713053702152926, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 7.002733115452276, 'median_interval_width_95': 7.002733115452276, 'calibration_error_95': 0.6166666666666667, 'sharpness': 1.7864115090439483, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
8,Quinoa15,2.3520647282037017,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.5422670672739226, 'rmse': 0.6363195604657125, 'r2': -1.22951349310013, 'max_error': 0.9114529269719727, 'nlpd': 1.2496827193104785, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 4.755312481038638, 'median_interval_width_95': 4.755312481038638, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.2130899186323056, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,2.5150694568656506,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.8509365983354717, 'rmse': 1.0471084828193566, 'r2': -0.7673102569418411, 'max_error': 1.6847524806401513, 'nlpd': 1.4677904078303274, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 4.332645187903777, 'median_interval_width_95': 4.332645187903777, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.1052666295672902, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
10,Quinoa50,2.3117871638998984,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.47158866338882977, 'rmse': 0.4750567184258025, 'r2': -0.16668136831931757, 'max_error': 0.5522408446406804, 'nlpd': 1.3268099925272718, 'coverage_50': 1.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 5.574262520457515, 'median_interval_width_95': 5.574262520457515, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.4220057450146724, '_inside_50': 3, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
