fold,diet,inner_best_score,params,metrics
0,Control,0.2659837454580277,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.10410512820467883, 'rmse': 0.12190687874487116, 'r2': -0.007433836934335192, 'max_error': 0.15695681490213143, 'nlpd': -0.6823724391277235, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 0.5061756865137466, 'median_interval_width_95': 0.5061756865137466, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.12912645064126188, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,0.25769442799113906,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.28249595206038713, 'rmse': 0.30878410581001453, 'r2': -0.6869875198951922, 'max_error': 0.4335051957475742, 'nlpd': 4.108056776228305, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 0.36267675980637354, 'median_interval_width_95': 0.3626767598063735, 'calibration_error_95': 0.6166666666666667, 'sharpness': 0.09251958158325853, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
2,Hoja30,0.2625626483704435,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.12839279897393588, 'rmse': 0.1552876459001691, 'r2': -2.160642214699745, 'max_error': 0.20764408138750512, 'nlpd': -0.07575243333248675, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 0.36737371878051417, 'median_interval_width_95': 0.36737371878051417, 'calibration_error_95': 0.2833333333333333, 'sharpness': 0.09371778540319241, '_inside_50': 1, '_inside_90': 1, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
3,Hoja50,0.2281382774574388,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.4782543590390216, 'rmse': 0.5833999910593243, 'r2': -2.049007248336914, 'max_error': 0.812362601421927, 'nlpd': 13.476720617105958, 'coverage_50': 0.0, 'coverage_90': 0.5, 'coverage_95': 0.5, 'mean_interval_width_95': 0.4204846587268889, 'median_interval_width_95': 0.4204846587268889, 'calibration_error_95': 0.44999999999999996, 'sharpness': 0.10726649457318595, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.5, '_inside95': 1}"
4,Orujo30,0.24422897548599737,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.3063627244761697, 'rmse': 0.3917961414479491, 'r2': -0.10962995265562125, 'max_error': 0.6199986572862051, 'nlpd': 7.413057018154293, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 0.3646651330555393, 'median_interval_width_95': 0.3646651330555393, 'calibration_error_95': 0.6166666666666667, 'sharpness': 0.09302681965702535, '_inside_50': 1, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
5,Orujo50,0.23940867213707917,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.35514031152057574, 'rmse': 0.3656266535935672, 'r2': -0.3297278984590082, 'max_error': 0.46993257710922043, 'nlpd': 13.265553049200397, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 0.2611955454521644, 'median_interval_width_95': 0.2611955454521644, 'calibration_error_95': 0.95, 'sharpness': 0.06663151669698071, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
6,Orujo70,0.26449163910594753,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.08089014236708085, 'rmse': 0.08576746433333067, 'r2': -8.049791526537984, 'max_error': 0.11802770298045084, 'nlpd': -1.017287004768112, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 0.3898324094605279, 'median_interval_width_95': 0.38983240946052783, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.09944704322972649, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
7,Orujo90,0.24108842699571179,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.31020128558473803, 'rmse': 0.3312204392518923, 'r2': -7.1372070556257405, 'max_error': 0.4263139110816765, 'nlpd': 2.255485599583017, 'coverage_50': 0.0, 'coverage_90': 0.5, 'coverage_95': 0.5, 'mean_interval_width_95': 0.49790934007379584, 'median_interval_width_95': 0.49790934007379584, 'calibration_error_95': 0.44999999999999996, 'sharpness': 0.12701768879433567, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.5, '_inside95': 1}"
8,Quinoa15,0.2724089719138637,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.07986230911331971, 'rmse': 0.10742200493193833, 'r2': -0.6905891519831915, 'max_error': 0.18038487785074975, 'nlpd': -0.7735557295383231, 'coverage_50': 0.6666666666666666, 'coverage_90': 0.6666666666666666, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 0.3502644050529798, 'median_interval_width_95': 0.3502644050529798, 'calibration_error_95': 0.2833333333333333, 'sharpness': 0.08935316455433158, '_inside_50': 2, '_inside_90': 2, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
9,Quinoa30,0.23672592704789558,"{'alpha': 1e-05, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.31803991962684264, 'rmse': 0.3182146740292112, 'r2': -909.7126084244276, 'max_error': 0.3297131911050619, 'nlpd': 0.29922825583538076, 'coverage_50': 0.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 1.0724592978545708, 'median_interval_width_95': 1.0724592978545708, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.2735865555751456, '_inside_50': 0, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
10,Quinoa50,0.2465794496917903,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.28571421515686973, 'rmse': 0.32006217522652497, 'r2': -3.9232899374774473, 'max_error': 0.44801154966280476, 'nlpd': 4.598161757969502, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 0.36019621074027247, 'median_interval_width_95': 0.36019621074027247, 'calibration_error_95': 0.6166666666666667, 'sharpness': 0.09188678845415114, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
