fold,diet,inner_best_score,params,metrics
0,Control,0.28266620386922836,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.13893839792202992, 'rmse': 0.1734627098627658, 'r2': -1.0397284956310613, 'max_error': 0.27476714149704073, 'nlpd': 0.3156591726126207, 'coverage_50': 1.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 2.0269755959325004, 'median_interval_width_95': 2.026975595932501, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.5170856112072705, '_inside_50': 3, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,0.28792306655302924,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.20168332213517667, 'rmse': 0.24203232187422893, 'r2': -0.03645088995891488, 'max_error': 0.37060886826556017, 'nlpd': 0.006687192166833759, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 1.0302631926998742, 'median_interval_width_95': 1.0302631926998744, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.26282224303568213, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
2,Hoja30,0.2838330709070755,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.17554075148206838, 'rmse': 0.19607166437745183, 'r2': -4.038847267896074, 'max_error': 0.2547920338956373, 'nlpd': -0.021903431914564713, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.6666666666666666, 'coverage_95': 1.0, 'mean_interval_width_95': 0.5259425472047659, 'median_interval_width_95': 0.5259425472047659, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.13416901714407292, '_inside_50': 1, '_inside_90': 2, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
3,Hoja50,0.2642532958483582,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.3341082423829054, 'rmse': 0.4723066745486467, 'r2': -0.9983602688181965, 'max_error': 0.6679424485317167, 'nlpd': 1.173840771608532, 'coverage_50': 0.5, 'coverage_90': 0.5, 'coverage_95': 0.5, 'mean_interval_width_95': 1.041365733821229, 'median_interval_width_95': 1.041365733821229, 'calibration_error_95': 0.44999999999999996, 'sharpness': 0.265654523933987, '_inside_50': 1, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.5, '_inside95': 1}"
4,Orujo30,0.24822823786813913,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.3772313266646519, 'rmse': 0.5010692649210804, 'r2': -0.8149028844589339, 'max_error': 0.8326044638516517, 'nlpd': 1.7152320843099584, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.6666666666666666, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 0.9287634652864322, 'median_interval_width_95': 0.928763465286432, 'calibration_error_95': 0.2833333333333333, 'sharpness': 0.2369294554302123, '_inside_50': 1, '_inside_90': 2, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
5,Orujo50,0.26584478909599035,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.34608338119881, 'rmse': 0.3528841495454128, 'r2': -0.23865793380857725, 'max_error': 0.44276178614392325, 'nlpd': 1.8592425300819022, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 0.5791379161362816, 'median_interval_width_95': 0.5791379161362809, 'calibration_error_95': 0.6166666666666667, 'sharpness': 0.14773926432047998, '_inside_50': 0, '_inside_90': 0, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
6,Orujo70,0.2775226769456237,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.14238715295259743, 'rmse': 0.14521344335821296, 'r2': -24.94221659616068, 'max_error': 0.17952471356596744, 'nlpd': -0.5065375814977993, 'coverage_50': 0.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 0.6075992600223116, 'median_interval_width_95': 0.6075992600223116, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.15499981123018153, '_inside_50': 0, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
7,Orujo90,0.2766884349861657,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.20831650843610028, 'rmse': 0.23849090021801694, 'r2': -3.218759180212481, 'max_error': 0.32442913393303874, 'nlpd': -0.014251733554279888, 'coverage_50': 0.5, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 0.9207678919521555, 'median_interval_width_95': 0.9207678919521555, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.2348897683551417, '_inside_50': 1, '_inside_90': 2, '_inside_95': 2, 'coverage95': 1.0, '_inside95': 2}"
8,Quinoa15,0.29535943409448345,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.2243058174023819, 'rmse': 0.23903727555274426, 'r2': -7.371105798008184, 'max_error': 0.3360338109627017, 'nlpd': 0.0010079409550343883, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 0.8388530683586226, 'median_interval_width_95': 0.8388530683586226, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.2139931296833221, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,0.2248590167240791,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.35367170631964356, 'rmse': 0.35382886278866066, 'r2': -1124.971653254721, 'max_error': 0.365344977797863, 'nlpd': 3.216149856635241, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 0.4661571533025392, 'median_interval_width_95': 0.4661571533025387, 'calibration_error_95': 0.95, 'sharpness': 0.11891764114860692, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
