fold,diet,inner_best_score,params,metrics
0,Control,0.265990452473815,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.1311745041106843, 'rmse': 0.15217377465418935, 'r2': -0.5697834152972692, 'max_error': 0.23816494262014776, 'nlpd': -0.4612260946521482, 'coverage_50': 0.6666666666666666, 'coverage_90': 0.6666666666666666, 'coverage_95': 1.0, 'mean_interval_width_95': 0.5675254347224964, 'median_interval_width_95': 0.5675254347224964, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.14477689661288173, '_inside_50': 2, '_inside_90': 2, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,0.26394610356903014,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.28374260038176263, 'rmse': 0.31118405048311765, 'r2': -0.7133127761650258, 'max_error': 0.4372451407117004, 'nlpd': 2.651604211996967, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 0.43504409032131636, 'median_interval_width_95': 0.43504409032131636, 'calibration_error_95': 0.6166666666666667, 'sharpness': 0.11098063528605011, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
2,Hoja30,0.2699840094917635,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.11994635501472972, 'rmse': 0.14558359718626546, 'r2': -1.777962737265677, 'max_error': 0.19572034108941683, 'nlpd': -0.4424169730090844, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.6666666666666666, 'coverage_95': 1.0, 'mean_interval_width_95': 0.4506803119049054, 'median_interval_width_95': 0.4506803119049053, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.11496946732267993, '_inside_50': 1, '_inside_90': 2, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
3,Hoja50,0.23050718333925957,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.4931527497371706, 'rmse': 0.5956743675881367, 'r2': -2.17865537831869, 'max_error': 0.827260992120076, 'nlpd': 12.61406032058686, 'coverage_50': 0.0, 'coverage_90': 0.5, 'coverage_95': 0.5, 'mean_interval_width_95': 0.4432683460523701, 'median_interval_width_95': 0.4432683460523701, 'calibration_error_95': 0.44999999999999996, 'sharpness': 0.11307865970723727, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.5, '_inside95': 1}"
4,Orujo30,0.2627914148550701,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.3044366266620273, 'rmse': 0.39001847046630794, 'r2': -0.09958349337641259, 'max_error': 0.614220363843778, 'nlpd': 3.404170854343428, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 0.5080140113701164, 'median_interval_width_95': 0.5080140113701164, 'calibration_error_95': 0.6166666666666667, 'sharpness': 0.1295954110638052, '_inside_50': 1, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
5,Orujo50,0.24909945462539426,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.35409866520492, 'rmse': 0.3640806373640945, 'r2': -0.3185064267295066, 'max_error': 0.46680763816225324, 'nlpd': 5.079418378611183, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 0.3973818376707805, 'median_interval_width_95': 0.3973818376707805, 'calibration_error_95': 0.95, 'sharpness': 0.10137291777315831, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
6,Orujo70,0.2766400958722244,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.05516702279431004, 'rmse': 0.06209865707074878, 'r2': -3.7441438633811392, 'max_error': 0.09230458340767989, 'nlpd': -1.0659394559178472, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 0.47135635403114035, 'median_interval_width_95': 0.47135635403114035, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.12024396786508683, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
7,Orujo90,0.24621340994996443,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.35875925911400564, 'rmse': 0.37708135435184614, 'r2': -9.546569670555847, 'max_error': 0.4748718846109441, 'nlpd': 2.7569454588940987, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.5, 'mean_interval_width_95': 0.5339757267455411, 'median_interval_width_95': 0.5339757267455411, 'calibration_error_95': 0.44999999999999996, 'sharpness': 0.13621829763916865, '_inside_50': 0, '_inside_90': 0, '_inside_95': 1, 'coverage95': 0.5, '_inside95': 1}"
8,Quinoa15,0.27838575559218426,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.07427063001835725, 'rmse': 0.09755739557734441, 'r2': -0.39435052887760347, 'max_error': 0.1636098405658628, 'nlpd': -0.893922467476726, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 0.4334480605078949, 'median_interval_width_95': 0.4334480605078949, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.11057348482344258, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,0.24409343794609112,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.3100754157319592, 'rmse': 0.3102546562625869, 'r2': -864.7202177884882, 'max_error': 0.32174868721017846, 'nlpd': 3.3601933451051313, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 0.39517955246247727, 'median_interval_width_95': 0.39517955246247727, 'calibration_error_95': 0.95, 'sharpness': 0.10081111032206053, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
10,Quinoa50,0.24978830527247378,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.29568549265568406, 'rmse': 0.3289940635255647, 'r2': -4.201909957768055, 'max_error': 0.4579828271616191, 'nlpd': 2.984424412027599, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 0.4425118137281134, 'median_interval_width_95': 0.4425118137281134, 'calibration_error_95': 0.6166666666666667, 'sharpness': 0.11288566676737587, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
