fold,diet,inner_best_score,params,metrics
0,Control,0.2504383687813324,"{'alpha': 1.0, 'kernel': RBF(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.1852219831575761, 'rmse': 0.22149223225354134, 'r2': -2.3256543562371004, 'max_error': 0.33170687457424397, 'nlpd': -0.08744707844153654, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 0.8417339036574288, 'median_interval_width_95': 0.8417339036574287, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.21472803664730325, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,0.28121333859821884,"{'alpha': 1e-05, 'kernel': RBF(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.29797617878425625, 'rmse': 0.3403035495976129, 'r2': -1.0489669477385308, 'max_error': 0.4799458759191815, 'nlpd': 0.35487740241147664, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 1.5078611370593091, 'median_interval_width_95': 1.5078611370593094, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.3846584533314565, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
2,Hoja30,0.28287631172474204,"{'alpha': 1e-10, 'kernel': RBF(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.1453674419088089, 'rmse': 0.1695913774575987, 'r2': -2.7697196996861213, 'max_error': 0.22461872432237828, 'nlpd': -0.1679640242114134, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 1.1021697194969948, 'median_interval_width_95': 1.1021697194969948, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.28116574476964157, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
3,Hoja50,0.23297415948423672,"{'alpha': 1.0, 'kernel': RBF(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.4630388937267227, 'rmse': 0.5709932878168196, 'r2': -1.9207045457568945, 'max_error': 0.7971471361096281, 'nlpd': 37.45100115266051, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 0.25255027748044806, 'median_interval_width_95': 0.25255027748044806, 'calibration_error_95': 0.95, 'sharpness': 0.06442609119399186, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
4,Orujo30,0.23367864558347828,"{'alpha': 1.0, 'kernel': RBF(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.3286932114228002, 'rmse': 0.4177225361220337, 'r2': -0.26134437348540285, 'max_error': 0.6869901181260967, 'nlpd': 6.743540495156364, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 0.40709998493332494, 'median_interval_width_95': 0.40709998493332494, 'calibration_error_95': 0.6166666666666667, 'sharpness': 0.10385203697278696, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
5,Orujo50,0.26902102202686495,"{'alpha': 1.0, 'kernel': RBF(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.3632768115261004, 'rmse': 0.3783742395911071, 'r2': -0.42406629554694475, 'max_error': 0.4943420771257945, 'nlpd': 10.42351559887654, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 0.30190432353651714, 'median_interval_width_95': 0.30190432353651714, 'calibration_error_95': 0.95, 'sharpness': 0.07701640906543805, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
6,Orujo70,0.2801671595349548,"{'alpha': 1.0, 'kernel': RBF(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.04249312886415516, 'rmse': 0.05117136705881754, 'r2': -2.2214209036870693, 'max_error': 0.07963068947752516, 'nlpd': -1.3414485905654372, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 0.3454626301714246, 'median_interval_width_95': 0.34546263017142465, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.08812822198250629, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
7,Orujo90,0.27174621944932487,"{'alpha': 1.0, 'kernel': RBF(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.21663467561221328, 'rmse': 0.24579000076773092, 'r2': -3.480944153719843, 'max_error': 0.33274730110915174, 'nlpd': 0.2774189645053661, 'coverage_50': 0.5, 'coverage_90': 0.5, 'coverage_95': 0.5, 'mean_interval_width_95': 0.6221601164132611, 'median_interval_width_95': 0.6221601164132611, 'calibration_error_95': 0.44999999999999996, 'sharpness': 0.1587143154115462, '_inside_50': 1, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.5, '_inside95': 1}"
8,Quinoa15,0.27889880213560037,"{'alpha': 1e-05, 'kernel': RBF(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.21753999944380706, 'rmse': 0.2327001734875577, 'r2': -6.93313754957292, 'max_error': 0.3292679930041267, 'nlpd': -0.016999971151823712, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 1.066484295793717, 'median_interval_width_95': 1.066484295793717, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.27206232035554007, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,0.22359937479764547,"{'alpha': 1.0, 'kernel': RBF(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.29853985484057904, 'rmse': 0.2987260169779369, 'r2': -801.5776113772541, 'max_error': 0.3102131263187984, 'nlpd': 8.012719816281434, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 0.2646488276201917, 'median_interval_width_95': 0.2646488276201917, 'calibration_error_95': 0.95, 'sharpness': 0.06751245602555911, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
10,Quinoa50,0.2614067264478025,"{'alpha': 1e-05, 'kernel': RBF(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.3797557341052711, 'rmse': 0.40622850817472433, 'r2': -6.930991846812165, 'max_error': 0.5420530686112062, 'nlpd': 0.8156710142140827, 'coverage_50': 0.0, 'coverage_90': 0.6666666666666666, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 1.0033247918341113, 'median_interval_width_95': 1.0033247918341113, 'calibration_error_95': 0.2833333333333333, 'sharpness': 0.2559502019984978, '_inside_50': 0, '_inside_90': 2, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
