fold,diet,inner_best_score,params,metrics
0,Control,0.2645525821380323,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.12111333801245323, 'rmse': 0.13613762126427253, 'r2': -0.25636672488291357, 'max_error': 0.20798144432545462, 'nlpd': -0.5751504225924523, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 0.5335701335365182, 'median_interval_width_95': 0.5335701335365182, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.13611482998380567, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,0.2581820089689531,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.28294918474533076, 'rmse': 0.30965355813532547, 'r2': -0.6965010938572431, 'max_error': 0.4348648938024049, 'nlpd': 2.9250623491094934, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 0.41642997920676955, 'median_interval_width_95': 0.41642997920676955, 'calibration_error_95': 0.6166666666666667, 'sharpness': 0.10623213755274734, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
2,Hoja30,0.2668872686639537,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.12056113013945675, 'rmse': 0.14706324825130304, 'r2': -1.83471780965893, 'max_error': 0.19756466646359816, 'nlpd': -0.39256410834667776, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.6666666666666666, 'coverage_95': 1.0, 'mean_interval_width_95': 0.4300746804247306, 'median_interval_width_95': 0.4300746804247306, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.10971292867977822, '_inside_50': 1, '_inside_90': 2, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
3,Hoja50,0.22801615338867864,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.4888818350396624, 'rmse': 0.5921433663057807, 'r2': -2.1410826008129455, 'max_error': 0.8229900774225678, 'nlpd': 12.611554666385178, 'coverage_50': 0.0, 'coverage_90': 0.5, 'coverage_95': 0.5, 'mean_interval_width_95': 0.4405841169809886, 'median_interval_width_95': 0.4405841169809886, 'calibration_error_95': 0.44999999999999996, 'sharpness': 0.11239390739310934, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.5, '_inside95': 1}"
4,Orujo30,0.2583714678718615,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.3067132400848393, 'rmse': 0.39212793695743425, 'r2': -0.11151014539047943, 'max_error': 0.6210502041122141, 'nlpd': 4.510824578609502, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 0.4533116904959429, 'median_interval_width_95': 0.4533116904959429, 'calibration_error_95': 0.6166666666666667, 'sharpness': 0.115640737371414, '_inside_50': 1, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
5,Orujo50,0.2453738015888131,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.355346420380761, 'rmse': 0.3659349497760988, 'r2': -0.3319712954634977, 'max_error': 0.47055090368977615, 'nlpd': 6.325705870144013, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 0.36354100228871405, 'median_interval_width_95': 0.36354100228871405, 'calibration_error_95': 0.95, 'sharpness': 0.0927400516042638, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
6,Orujo70,0.27177305208731184,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.06519175035765867, 'rmse': 0.07115340554532745, 'r2': -5.228519319247089, 'max_error': 0.10232931097102882, 'nlpd': -1.0543821101770943, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 0.44940585240148617, 'median_interval_width_95': 0.4494058524014862, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.11464435010241995, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
7,Orujo90,0.24334478154068462,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.33608458616488934, 'rmse': 0.3555769830253601, 'r2': -8.377960322251258, 'max_error': 0.4521972116618278, 'nlpd': 2.3991216628560945, 'coverage_50': 0.0, 'coverage_90': 0.5, 'coverage_95': 0.5, 'mean_interval_width_95': 0.5279624187080691, 'median_interval_width_95': 0.5279624187080691, 'calibration_error_95': 0.44999999999999996, 'sharpness': 0.13468429048675234, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.5, '_inside95': 1}"
8,Quinoa15,0.2751680995250243,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.07653924101203365, 'rmse': 0.10134082674487195, 'r2': -0.5045979169199251, 'max_error': 0.17041567354689158, 'nlpd': -0.8685574435386196, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 0.4145734099719746, 'median_interval_width_95': 0.41457340997197456, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.10575852295203432, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,0.24243055511946054,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.3032027391245089, 'rmse': 0.3033860400609653, 'r2': -826.8127872429562, 'max_error': 0.3148760106027282, 'nlpd': 3.409597146406552, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 0.38320024134006325, 'median_interval_width_95': 0.38320024134006325, 'calibration_error_95': 0.95, 'sharpness': 0.09775516360715901, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
