fold,diet,inner_best_score,params,metrics
0,Control,2.8489202087044445,{'strategy': 'mean'},"{'n_samples': 3, 'mae': 3.315773781515196, 'rmse': 3.331085458282739, 'r2': -108.026561339801, 'max_error': 3.677829007391974, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
1,Hoja15,2.8989032793093243,{'strategy': 'mean'},"{'n_samples': 3, 'mae': 2.744813321144053, 'rmse': 2.94377181654078, 'r2': -6.656698320114195, 'max_error': 3.7675724787535287, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
2,Hoja30,2.34663601209401,{'strategy': 'median'},"{'n_samples': 3, 'mae': 5.713510111559035, 'rmse': 5.760391781995028, 'r2': -60.68645806837604, 'max_error': 6.658243338202244, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
3,Hoja50,2.241953138903518,{'strategy': 'median'},"{'n_samples': 3, 'mae': 6.760338843463952, 'rmse': 6.783539054584268, 'r2': -145.44606024270104, 'max_error': 7.453814312304107, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
4,Orujo30,2.9162864709808365,{'strategy': 'median'},"{'n_samples': 3, 'mae': 1.2707063075284744, 'rmse': 1.2781270199490617, 'r2': -0.15698607173743073, 'max_error': 1.4629962846790896, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
5,Orujo50,2.8285804763812665,{'strategy': 'mean'},"{'n_samples': 3, 'mae': 3.5481161084376516, 'rmse': 3.6331443365043024, 'r2': -20.617302357662407, 'max_error': 4.562448479728559, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
6,Orujo70,2.645076444716805,{'strategy': 'median'},"{'n_samples': 3, 'mae': 2.7291057853310847, 'rmse': 2.7826926219687667, 'r2': -25.21676056755729, 'max_error': 3.26942142865013, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
7,Orujo90,2.5595912392795124,{'strategy': 'median'},"{'n_samples': 3, 'mae': 3.5839578397040106, 'rmse': 4.1193789769952875, 'r2': -3.114235026041153, 'max_error': 6.456053608414795, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
8,Quinoa15,2.9615056161516256,{'strategy': 'mean'},"{'n_samples': 3, 'mae': 2.029702011830087, 'rmse': 2.2963891510294228, 'r2': -3.570810677450077, 'max_error': 3.5159521252538184, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
9,Quinoa30,3.036896526240043,{'strategy': 'mean'},"{'n_samples': 3, 'mae': 1.1685058465893132, 'rmse': 1.3258953628063634, 'r2': -3.477920661040211, 'max_error': 1.9447927274249643, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
10,Quinoa50,2.937801360142468,{'strategy': 'median'},"{'n_samples': 3, 'mae': 1.0555574159121595, 'rmse': 1.1373342694288902, 'r2': -0.0003454899064008199, 'max_error': 1.6150407077116284, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
