fold,diet,inner_best_score,params,metrics
0,Control,2.1725165933137576,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.34470905500658705, 'rmse': 0.4448425819360372, 'r2': -0.9443456431187169, 'max_error': 0.7241727250756789, 'nlpd': 1.6102224441595574, 'coverage_50': 1.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 7.623334956960309, 'median_interval_width_95': 7.62333495696031, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.9447283053470177, '_inside_50': 3, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,1.3513839786323132,"{'alpha': 0.01, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 4.625639421221027, 'rmse': 4.7464020473495445, 'r2': -18.905005185384262, 'max_error': 5.648398578830502, 'nlpd': 4.7634679174263495, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 7.333898447084205, 'median_interval_width_95': 7.333898447084205, 'calibration_error_95': 0.6166666666666667, 'sharpness': 1.8708924609908688, '_inside_50': 0, '_inside_90': 0, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
2,Hoja30,2.124472453595956,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.342215468379873, 'rmse': 3.4217422352167626, 'r2': -20.76608751728601, 'max_error': 4.2869486950230815, 'nlpd': 7.663296889307816, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 3.6316310113425057, 'median_interval_width_95': 3.6316310113425057, 'calibration_error_95': 0.95, 'sharpness': 0.926436482485333, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
3,Hoja50,2.089706272504727,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.187907895042237, 'rmse': 3.236815962314683, 'r2': -32.342721698336014, 'max_error': 3.8813833638823922, 'nlpd': 3.0819387321823934, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 7.19242699067109, 'median_interval_width_95': 7.19242699067109, 'calibration_error_95': 0.2833333333333333, 'sharpness': 1.8348028037426252, '_inside_50': 0, '_inside_90': 1, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
4,Orujo30,2.250980115531733,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.1665684661948805, 'rmse': 1.6651828378910543, 'r2': -0.9638302756173953, 'max_error': 2.837225728136545, 'nlpd': 1.9771031432249802, 'coverage_50': 0.6666666666666666, 'coverage_90': 0.6666666666666666, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 5.319506626005527, 'median_interval_width_95': 5.319506626005527, 'calibration_error_95': 0.2833333333333333, 'sharpness': 1.3570169964299812, '_inside_50': 2, '_inside_90': 2, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
5,Orujo50,1.8329942394452394,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.2894756147540476, 'rmse': 3.3810145919501826, 'r2': -17.721053474299485, 'max_error': 4.303807986044955, 'nlpd': 9.905432364122587, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 3.0854162950796407, 'median_interval_width_95': 3.0854162950796393, 'calibration_error_95': 0.95, 'sharpness': 0.7870959936427654, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
6,Orujo70,2.1162255529925615,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.4943550343392704, 'rmse': 1.590112200282399, 'r2': -7.560597819819163, 'max_error': 2.0346706776583154, 'nlpd': 2.171963947668624, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 3.9491955377288606, 'median_interval_width_95': 3.949195537728865, 'calibration_error_95': 0.2833333333333333, 'sharpness': 1.0074478412573624, '_inside_50': 0, '_inside_90': 1, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
7,Orujo90,2.2656258038428225,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.010066094896176, 'rmse': 2.0509337431563046, 'r2': -0.01983253175228139, 'max_error': 2.5860890214438257, 'nlpd': 2.1487869089062452, 'coverage_50': 0.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 7.247220342808791, 'median_interval_width_95': 7.247220342808793, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.84878069969612, '_inside_50': 0, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
8,Quinoa15,2.1438245903637045,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.0276405337769816, 'rmse': 1.0797711591264842, 'r2': -0.010568383343029675, 'max_error': 1.3758287389402497, 'nlpd': 1.5004072093636938, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 4.541010736376761, 'median_interval_width_95': 4.541010736376762, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.1584211062185616, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,2.1514344996109847,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.5927128651647754, 'rmse': 0.6659370044198016, 'r2': -0.12959870947568985, 'max_error': 0.9837392302146135, 'nlpd': 1.1659361027796395, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 4.095919544738686, 'median_interval_width_95': 4.095919544738686, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.044877434882318, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
10,Quinoa50,2.0863520857485645,"{'alpha': 1.0, 'kernel': 1**2 * DotProduct(sigma_0=1) + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.1913072761111405, 'rmse': 1.2009021150851995, 'r2': -0.11529302832690291, 'max_error': 1.3680667231534933, 'nlpd': 1.6069681657761958, 'coverage_50': 0.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 5.059458646065221, 'median_interval_width_95': 5.059458646065221, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.2906782260370464, '_inside_50': 0, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
