fold,diet,inner_best_score,params,metrics
0,Control,2.3734638758150464,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.905015849753911, 'rmse': 0.9595979619116211, 'r2': -8.04772515551214, 'max_error': 1.3191718615633938, 'nlpd': 2.5636572693241244, 'coverage_50': 1.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 19.94597103495536, 'median_interval_width_95': 19.94597103495536, 'calibration_error_95': 0.050000000000000044, 'sharpness': 5.0882579170804485, '_inside_50': 3, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,1.4681088727827185,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 5.2769408430253755, 'rmse': 5.383112203987515, 'r2': -24.603545790487257, 'max_error': 6.299700000634854, 'nlpd': 4.00463415606674, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 10.233079695563662, 'median_interval_width_95': 10.233079695563656, 'calibration_error_95': 0.6166666666666667, 'sharpness': 2.6104795141744037, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
2,Hoja30,1.8611944662658224,"{'alpha': 1e-05, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.48577353661481, 'rmse': 3.5620966909606255, 'r2': -22.588330175070624, 'max_error': 4.43050676325802, 'nlpd': 4.678160140163372, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 5.311614013645149, 'median_interval_width_95': 5.311614013645149, 'calibration_error_95': 0.6166666666666667, 'sharpness': 1.3550035749094766, '_inside_50': 0, '_inside_90': 0, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
3,Hoja50,2.2927986962301508,"{'alpha': 1e-05, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 4.690142226872435, 'rmse': 4.723521454901462, 'r2': -70.00628934987579, 'max_error': 5.369521014864446, 'nlpd': 4.317813811774891, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 7.987162318031902, 'median_interval_width_95': 7.987162318031909, 'calibration_error_95': 0.95, 'sharpness': 2.0375414076611995, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
4,Orujo30,2.4512606249681204,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.352274532552363, 'rmse': 2.6353647515630674, 'r2': -3.9188271832260524, 'max_error': 4.022931794494028, 'nlpd': 2.393589189679276, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 9.601473318727235, 'median_interval_width_95': 9.601473318727232, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.449355438450825, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
5,Orujo50,1.9029852672101715,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.0677946124491933, 'rmse': 3.1657500904352567, 'r2': -15.41305593091031, 'max_error': 4.0821269837401, 'nlpd': 3.749148062829223, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 5.574218443217762, 'median_interval_width_95': 5.574218443217761, 'calibration_error_95': 0.6166666666666667, 'sharpness': 1.4219945008208574, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
6,Orujo70,2.6130705859160397,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.9173368562596582, 'rmse': 1.9928724146827552, 'r2': -12.446447052580266, 'max_error': 2.457652499578696, 'nlpd': 2.3325916886162563, 'coverage_50': 0.0, 'coverage_90': 0.6666666666666666, 'coverage_95': 1.0, 'mean_interval_width_95': 5.189275452673034, 'median_interval_width_95': 5.18927545267306, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.3237947583349576, '_inside_50': 0, '_inside_90': 2, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
7,Orujo90,2.9172598463339265,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.182533090355566, 'rmse': 2.184031443412779, 'r2': -0.1564939730686956, 'max_error': 2.2491231159997014, 'nlpd': 2.2128461688381145, 'coverage_50': 0.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 9.626541095226935, 'median_interval_width_95': 9.626541095226989, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.4557502793946266, '_inside_50': 0, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
8,Quinoa15,2.357439524455484,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.0070127791784813, 'rmse': 1.0752064101035164, 'r2': -0.002042057636598482, 'max_error': 1.4377120027357542, 'nlpd': 1.7843268924745672, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 8.147081926092051, 'median_interval_width_95': 8.147081926092062, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.0783372260438906, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,2.3600588315049946,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.6106698333434307, 'rmse': 0.6860589854161545, 'r2': -0.1988940493330389, 'max_error': 1.037610134750576, 'nlpd': 1.2906661191125977, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 4.885749613959535, 'median_interval_width_95': 4.885749613959516, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.2463646974386569, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
10,Quinoa50,2.3165849810078964,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.19457339868348, 'rmse': 1.2040882260386299, 'r2': -0.12121884211485368, 'max_error': 1.3778650908705181, 'nlpd': 1.9325669945658657, 'coverage_50': 1.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 9.563153421265795, 'median_interval_width_95': 9.5631534212658, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.4395799544045396, '_inside_50': 3, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
