fold,diet,inner_best_score,params,metrics
0,Control,2.3923397510166904,"{'alpha': 1.0, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.488978209304431, 'rmse': 2.5093399703092105, 'r2': -60.86995133430883, 'max_error': 2.8510334351812077, 'nlpd': 2.344227705867779, 'coverage_50': 0.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 10.596268863543719, 'median_interval_width_95': 10.596268863543719, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.7031298121284997, '_inside_50': 0, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,1.8178491580545244,"{'alpha': 1e-05, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 6.710353960886704, 'rmse': 6.794162392842685, 'r2': -39.78543474077112, 'max_error': 7.733113118496181, 'nlpd': 10.782468382736065, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 6.137509249348569, 'median_interval_width_95': 6.137509249348569, 'calibration_error_95': 0.95, 'sharpness': 1.5656911350379004, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
2,Hoja30,2.1403636311524483,"{'alpha': 1.0, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.293751193151145, 'rmse': 3.3744203368242527, 'r2': -20.16821070805216, 'max_error': 4.238484419794354, 'nlpd': 5.463067084310937, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 4.4503581821896, 'median_interval_width_95': 4.4503581821896, 'calibration_error_95': 0.95, 'sharpness': 1.135295454640204, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
3,Hoja50,1.6195809506597705,"{'alpha': 1e-05, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 5.3919727338755585, 'rmse': 5.421032262353727, 'r2': -92.52527999293218, 'max_error': 6.085448202715714, 'nlpd': 3.8679980963482214, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 10.800701745642497, 'median_interval_width_95': 10.800701745642497, 'calibration_error_95': 0.2833333333333333, 'sharpness': 2.7552810575618616, '_inside_50': 0, '_inside_90': 0, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
4,Orujo30,2.5449074836522128,"{'alpha': 0.01, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.9221110529694805, 'rmse': 1.4224615077551552, 'r2': -0.43304934462247924, 'max_error': 2.452606648896115, 'nlpd': 1.8369060298431537, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 7.377391799244198, 'median_interval_width_95': 7.377391799244198, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.8819877038888262, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
5,Orujo50,2.3180976832288493,"{'alpha': 0.01, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.0258158771867585, 'rmse': 3.1250874505450272, 'r2': -14.994127115477651, 'max_error': 4.040148248477667, 'nlpd': 3.2796043030030297, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 6.309837556896556, 'median_interval_width_95': 6.3098375568965555, 'calibration_error_95': 0.2833333333333333, 'sharpness': 1.6096524379838153, '_inside_50': 0, '_inside_90': 1, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
6,Orujo70,2.8204827804612522,"{'alpha': 1.0, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.547499025212287, 'rmse': 0.5652598420384761, 'r2': -0.08179462760243505, 'max_error': 0.6957468119743453, 'nlpd': 1.383462374008486, 'coverage_50': 1.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 5.79851407737608, 'median_interval_width_95': 5.79851407737608, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.4792127748408366, '_inside_50': 3, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
7,Orujo90,2.5653938336193263,"{'alpha': 0.01, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.736237527701481, 'rmse': 3.1934923428667736, 'r2': -1.4726198931926726, 'max_error': 3.910236428037461, 'nlpd': 2.6841944778348883, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 9.353816174893586, 'median_interval_width_95': 9.353816174893586, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.386177595636119, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
8,Quinoa15,2.6003688569055177,"{'alpha': 1.0, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.8696463002769406, 'rmse': 1.1339707729538309, 'r2': -0.11456649267656038, 'max_error': 1.8498114394403729, 'nlpd': 1.5501654875890665, 'coverage_50': 0.6666666666666666, 'coverage_90': 0.6666666666666666, 'coverage_95': 1.0, 'mean_interval_width_95': 4.134780416513996, 'median_interval_width_95': 4.134780416513996, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.054790922580101, '_inside_50': 2, '_inside_90': 2, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,2.611617106728293,"{'alpha': 1.0, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.8653155058678289, 'rmse': 1.0683461631387587, 'r2': -1.907246660945697, 'max_error': 1.6234899022594185, 'nlpd': 1.4980391266038018, 'coverage_50': 0.3333333333333333, 'coverage_90': 0.6666666666666666, 'coverage_95': 1.0, 'mean_interval_width_95': 3.7524357537365245, 'median_interval_width_95': 3.7524357537365245, 'calibration_error_95': 0.050000000000000044, 'sharpness': 0.9572540188103379, '_inside_50': 1, '_inside_90': 2, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
