fold,diet,inner_best_score,params,metrics
0,Control,2.4536394296889026,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.8144961975557503, 'rmse': 1.8423276068993308, 'r2': -32.349896128287284, 'max_error': 2.176551423432528, 'nlpd': 2.138874383858731, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 10.462408567693418, 'median_interval_width_95': 10.462408567693418, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.6689817774728106, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,1.899980808558522,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 4.2043020718150315, 'rmse': 4.336813144579568, 'r2': -15.617843739923273, 'max_error': 5.227061229424507, 'nlpd': 4.242857429826567, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 7.315803140272588, 'median_interval_width_95': 7.315803140272588, 'calibration_error_95': 0.6166666666666667, 'sharpness': 1.8662763112940273, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
2,Hoja30,2.345897327304676,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.6274098834417714, 'rmse': 3.700813174111814, 'r2': -24.461272976186308, 'max_error': 4.57214311008498, 'nlpd': 3.9446782505857505, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 6.452617503360751, 'median_interval_width_95': 6.4526175033607505, 'calibration_error_95': 0.6166666666666667, 'sharpness': 1.6460758937144773, '_inside_50': 0, '_inside_90': 0, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
3,Hoja50,2.644551560887551,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 5.665303594927455, 'rmse': 5.692968087853685, 'r2': -102.14365854640538, 'max_error': 6.35877906376761, 'nlpd': 4.244063247015017, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 10.267012960197107, 'median_interval_width_95': 10.267012960197107, 'calibration_error_95': 0.6166666666666667, 'sharpness': 2.619135959233956, '_inside_50': 0, '_inside_90': 0, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
4,Orujo30,2.6200276704851784,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.9119109180153906, 'rmse': 1.4058723946993164, 'r2': -0.39981906889024965, 'max_error': 2.422006244033849, 'nlpd': 1.9554092538104528, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 9.256573176764375, 'median_interval_width_95': 9.256573176764375, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.361370708358259, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
5,Orujo50,2.054482098089129,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.725727196741198, 'rmse': 3.8067903797629263, 'r2': -22.733080908628867, 'max_error': 4.740059568032105, 'nlpd': 4.8702281381761905, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 5.559947369772533, 'median_interval_width_95': 5.559947369772533, 'calibration_error_95': 0.95, 'sharpness': 1.41835392086034, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
6,Orujo70,2.5840703815550596,"{'alpha': 1e-10, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.358667824153996, 'rmse': 2.420469736545194, 'r2': -18.835715407455538, 'max_error': 2.898983467473048, 'nlpd': 2.3057958837152883, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 10.022654794661069, 'median_interval_width_95': 10.022654794661069, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.556799692515579, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
7,Orujo90,2.700337701317279,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.6227578615161964, 'rmse': 2.5995908209653926, 'r2': -0.6384590453096581, 'max_error': 4.494853630226981, 'nlpd': 2.375429927248977, 'coverage_50': 0.6666666666666666, 'coverage_90': 0.6666666666666666, 'coverage_95': 1.0, 'mean_interval_width_95': 10.543964008587936, 'median_interval_width_95': 10.543964008587936, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.6897867368846775, '_inside_50': 2, '_inside_90': 2, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
8,Quinoa15,2.6645036045373667,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.9397015776881913, 'rmse': 1.3329278195903114, 'r2': -0.5399815751249775, 'max_error': 2.2755432757526926, 'nlpd': 1.8183329588817128, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 7.614440862553304, 'median_interval_width_95': 7.6144408625533035, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.9424594037125775, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,2.646086878997149,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.5812736963000376, 'rmse': 0.655109257887701, 'r2': -0.09316411009686565, 'max_error': 0.9494217236204001, 'nlpd': 1.328646927487575, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 5.235783466997767, 'median_interval_width_95': 5.235783466997767, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.335659047703512, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
