fold,diet,inner_best_score,params,metrics
0,Control,1.9430589238609968,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.771717606765913, 'rmse': 3.812417926283109, 'r2': -46.08657500471728, 'max_error': 4.499753234440822, 'nlpd': 2.7727023956755765, 'coverage_50': 0.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 17.0175242680898, 'median_interval_width_95': 17.0175242680898, 'calibration_error_95': 0.050000000000000044, 'sharpness': 4.3412051704310715, '_inside_50': 0, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,2.2959436247179132,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.1828267052190231, 'rmse': 1.5187758333962922, 'r2': -0.14194891417732824, 'max_error': 2.44100793342416, 'nlpd': 2.053491980592794, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 10.322396175862542, 'median_interval_width_95': 10.322396175862536, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.6332643305771786, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
2,Hoja30,2.421840313568547,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.8310650516636583, 'rmse': 1.0224889398108175, 'r2': -0.08189048199716575, 'max_error': 1.6685611316146733, 'nlpd': 1.4571820560904032, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 4.574075160481284, 'median_interval_width_95': 4.574075160481284, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.166855908286042, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
3,Hoja50,2.2812522559478765,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.7590339580391265, 'rmse': 2.0199416614807615, 'r2': -1.2634945273028055, 'max_error': 2.6558058650054566, 'nlpd': 2.223638213280817, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 11.310699698702686, 'median_interval_width_95': 11.310699698702683, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.885382576199665, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
4,Orujo30,2.565902800860528,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.661947569644352, 'rmse': 1.7610446240960222, 'r2': -8.142691535673903, 'max_error': 2.186779507521397, 'nlpd': 2.070437829259942, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 9.54575613778547, 'median_interval_width_95': 9.545756137785466, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.4351418718840483, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
5,Orujo50,2.62098957258507,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.316936691180197, 'rmse': 1.3345946916866553, 'r2': -37.04175021400318, 'max_error': 1.6229043177087057, 'nlpd': 1.7176706672686688, 'coverage_50': 0.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 5.805028193764205, 'median_interval_width_95': 5.805028193764205, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.4808745392255627, '_inside_50': 0, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
6,Orujo70,1.277423653256221,"{'alpha': 1e-10, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 5.076231577714282, 'rmse': 5.2061962564148105, 'r2': -19.28243362860983, 'max_error': 6.52818331677771, 'nlpd': 7.455664457714949, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 5.8233677785370555, 'median_interval_width_95': 5.823367778537074, 'calibration_error_95': 0.95, 'sharpness': 1.4855530047288408, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
7,Orujo90,1.6503432900443584,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 5.735646499982231, 'rmse': 6.337157885366921, 'r2': -4.530151624049377, 'max_error': 7.8248612582703085, 'nlpd': 5.301335480307185, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 9.37533774933858, 'median_interval_width_95': 9.375337749338632, 'calibration_error_95': 0.6166666666666667, 'sharpness': 2.3916677931986174, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
8,Quinoa15,2.279080706611362,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.3516970002405945, 'rmse': 0.43754472110345566, 'r2': -0.05415495578682061, 'max_error': 0.6763035867451741, 'nlpd': 1.6444520009059198, 'coverage_50': 1.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 7.9097372546933995, 'median_interval_width_95': 7.90973725469341, 'calibration_error_95': 0.050000000000000044, 'sharpness': 2.0177901159932143, '_inside_50': 3, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,2.24402220495302,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.7048854520940008, 'rmse': 0.8269233815080343, 'r2': -0.10219893230180999, 'max_error': 1.2465990419157542, 'nlpd': 1.3375046348515536, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 4.693359239815344, 'median_interval_width_95': 4.693359239815326, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.1972855203610573, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
