fold,diet,inner_best_score,params,metrics
0,Control,1.847318373145217,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 4.600489070636601, 'rmse': 4.633915884918892, 'r2': -68.56525608729243, 'max_error': 5.328524698311504, 'nlpd': 4.152280552528804, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 8.114170586830818, 'median_interval_width_95': 8.114170586830818, 'calibration_error_95': 0.6166666666666667, 'sharpness': 2.069941476232352, '_inside_50': 0, '_inside_90': 0, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
1,Hoja15,2.0898940877638332,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.5669878712086032, 'rmse': 1.6768589377660648, 'r2': -0.39204213150295253, 'max_error': 2.3963950854480434, 'nlpd': 1.937205175420315, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 6.339451688307489, 'median_interval_width_95': 6.339451688307489, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.6172070633437474, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
2,Hoja30,2.183833851569037,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.8725882861641434, 'rmse': 0.9954476764915842, 'r2': -0.025422721998500153, 'max_error': 1.5439914281132179, 'nlpd': 1.4729432336216142, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 5.077086492743555, 'median_interval_width_95': 5.077086492743555, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.2951751256998865, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
3,Hoja50,2.089613996999926,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.6475674864969658, 'rmse': 1.784001592863725, 'r2': -0.765599800632039, 'max_error': 2.3214064503789853, 'nlpd': 2.0056512352716918, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 7.661970641352204, 'median_interval_width_95': 7.661970641352204, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.9545843472837257, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
4,Orujo30,2.2805604278885414,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.6679001304128, 'rmse': 0.6950735481442859, 'r2': -0.4242783342959955, 'max_error': 0.9041982430744806, 'nlpd': 1.46003164971578, 'coverage_50': 1.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 6.093439551641276, 'median_interval_width_95': 6.093439551641276, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.5544488652146111, '_inside_50': 3, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
5,Orujo50,2.0753908196827178,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.264161094585329, 'rmse': 2.274477127767036, 'r2': -109.4904776886851, 'max_error': 2.570128721113834, 'nlpd': 2.6077841551167933, 'coverage_50': 0.0, 'coverage_90': 0.6666666666666666, 'coverage_95': 1.0, 'mean_interval_width_95': 5.383000968749575, 'median_interval_width_95': 5.383000968749575, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.373214532844279, '_inside_50': 0, '_inside_90': 2, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
6,Orujo70,1.3531938908359744,"{'alpha': 1e-05, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 5.098858677616136, 'rmse': 5.2282609196582115, 'r2': -19.45471810880889, 'max_error': 6.550810416679564, 'nlpd': 7.119501370430527, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 6.033445539046903, 'median_interval_width_95': 6.033445539046903, 'calibration_error_95': 0.95, 'sharpness': 1.539144270165026, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
7,Orujo90,1.9576474464575095,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.175240336870498, 'rmse': 3.3064471233959396, 'r2': -0.5054666798940362, 'max_error': 4.0051122734238955, 'nlpd': 3.0331304245281143, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 7.60842731375316, 'median_interval_width_95': 7.60842731375316, 'calibration_error_95': 0.2833333333333333, 'sharpness': 1.9409253351411124, '_inside_50': 0, '_inside_90': 1, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
8,Quinoa15,2.304899298999573,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.6097178217995882, 'rmse': 0.7438858166271193, 'r2': -2.0469976150141664, 'max_error': 1.0486326052610968, 'nlpd': 1.3606033528357593, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 5.214135349574329, 'median_interval_width_95': 5.214135349574329, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.3301365687689615, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,2.264477225632109,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.866350198877071, 'rmse': 1.0781384573528026, 'r2': -0.8736070741595368, 'max_error': 1.7309932822649499, 'nlpd': 1.4954213386605433, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 4.380047770454754, 'median_interval_width_95': 4.380047770454754, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.1173591251160087, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
10,Quinoa50,2.1950858518287317,"{'alpha': 1.0, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.5508686438526155, 'rmse': 0.6063501012903038, 'r2': -0.9006766630769467, 'max_error': 0.7900807860320374, 'nlpd': 1.3411142845935657, 'coverage_50': 1.0, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 5.43351364474734, 'median_interval_width_95': 5.43351364474734, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.3861004195784032, '_inside_50': 3, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
