fold,diet,inner_best_score,params,metrics
0,Control,1.8735876537174192,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 4.207495740330422, 'rmse': 4.244018984919301, 'r2': -57.35132629705478, 'max_error': 4.935531368005325, 'nlpd': 4.22479892556147, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 7.153466309790997, 'median_interval_width_95': 7.153466309790997, 'calibration_error_95': 0.95, 'sharpness': 1.8248638545385196, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
1,Hoja15,2.137015542573138,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.5912827525444306, 'rmse': 1.7166498813273832, 'r2': -0.4588907658712158, 'max_error': 2.4692797294555255, 'nlpd': 1.9721977903287904, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 6.0320874072575394, 'median_interval_width_95': 6.0320874072575394, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.538797807973862, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
2,Hoja30,2.2103818026912787,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.8714241324902385, 'rmse': 0.9960035571902734, 'r2': -0.02656828065853012, 'max_error': 1.5474838891349325, 'nlpd': 1.4489974064645519, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 4.752818372299284, 'median_interval_width_95': 4.752818372299284, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.2124536664028787, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
3,Hoja50,2.131354549072884,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.5739552855015895, 'rmse': 1.6469879928653657, 'r2': -0.5048134405217541, 'max_error': 2.100569847392853, 'nlpd': 1.9299525678776355, 'coverage_50': 0.3333333333333333, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 7.2359248141249, 'median_interval_width_95': 7.2359248141249, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.8458991872767603, '_inside_50': 1, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
4,Orujo30,2.321547238767235,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.7134623286708864, 'rmse': 0.7781510389249174, 'r2': -0.7850942405130359, 'max_error': 1.040884837848738, 'nlpd': 1.4315171227358825, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 5.6601818008106095, 'median_interval_width_95': 5.66018180081061, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.443923928778217, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
5,Orujo50,2.0860437299482615,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.2624628351798655, 'rmse': 2.2727865766656725, 'r2': -109.32629016723635, 'max_error': 2.5684304617083704, 'nlpd': 2.742101256821197, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.6666666666666666, 'mean_interval_width_95': 5.017834967368177, 'median_interval_width_95': 5.017834967368177, 'calibration_error_95': 0.2833333333333333, 'sharpness': 1.2800599406551474, '_inside_50': 0, '_inside_90': 1, '_inside_95': 2, 'coverage95': 0.6666666666666666, '_inside95': 2}"
6,Orujo70,1.3537645514807235,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 5.191445115532676, 'rmse': 5.318595192088981, 'r2': -20.167660706955328, 'max_error': 6.643396854596105, 'nlpd': 17.719893367247128, 'coverage_50': 0.0, 'coverage_90': 0.0, 'coverage_95': 0.0, 'mean_interval_width_95': 3.5872151045909377, 'median_interval_width_95': 3.5872151045909377, 'calibration_error_95': 0.95, 'sharpness': 0.9151058940283004, '_inside_50': 0, '_inside_90': 0, '_inside_95': 0, 'coverage95': 0.0, '_inside95': 0}"
7,Orujo90,1.9375868559308138,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.237633670305682, 'rmse': 3.4183130821012764, 'r2': -0.6090578493029257, 'max_error': 4.192292273729448, 'nlpd': 3.252471326929351, 'coverage_50': 0.0, 'coverage_90': 0.3333333333333333, 'coverage_95': 0.3333333333333333, 'mean_interval_width_95': 7.2184103404430155, 'median_interval_width_95': 7.2184103404430155, 'calibration_error_95': 0.6166666666666667, 'sharpness': 1.8414312092966876, '_inside_50': 0, '_inside_90': 1, '_inside_95': 1, 'coverage95': 0.3333333333333333, '_inside95': 1}"
8,Quinoa15,2.32190492641197,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.5602023829633044, 'rmse': 0.6772358434445, 'r2': -1.52545380469047, 'max_error': 0.9652588740401162, 'nlpd': 1.2934735179195054, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 4.932089687810022, 'median_interval_width_95': 4.932089687810022, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.2581861448494953, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,2.2846503797787507,"{'alpha': 1.0, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.8645777044918436, 'rmse': 1.0745144908547675, 'r2': -0.861032663643758, 'max_error': 1.7256757991092666, 'nlpd': 1.4913440086477638, 'coverage_50': 0.6666666666666666, 'coverage_90': 1.0, 'coverage_95': 1.0, 'mean_interval_width_95': 4.31157995455336, 'median_interval_width_95': 4.31157995455336, 'calibration_error_95': 0.050000000000000044, 'sharpness': 1.0998928455493266, '_inside_50': 2, '_inside_90': 3, '_inside_95': 3, 'coverage95': 1.0, '_inside95': 3}"
