fold,diet,inner_best_score,params,metrics
0,Control,0.26459292352998154,"{'alpha': 1e-08, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=1e-05), 'n_restarts_optimizer': 8, 'normalize_y': True}","{'mae': 0.14083183998335902, 'rmse': 0.17119738666725887, 'coverage95': 1.0}"
1,Hoja15,0.2618313281716634,"{'alpha': 1e-08, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=1e-06), 'n_restarts_optimizer': 3, 'normalize_y': True}","{'mae': 0.2979728093412559, 'rmse': 0.34029631709840824, 'coverage95': 1.0}"
2,Hoja30,0.2596720374284457,"{'alpha': 1e-10, 'kernel': RationalQuadratic(alpha=0.5, length_scale=1) + WhiteKernel(noise_level=0.01), 'n_restarts_optimizer': 8, 'normalize_y': True}","{'mae': 0.14327535854231913, 'rmse': 0.16780158076217547, 'coverage95': 1.0}"
3,Hoja50,0.22766388297740225,"{'alpha': 1e-10, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=1e-05), 'n_restarts_optimizer': 8, 'normalize_y': True}","{'mae': 0.523807991163979, 'rmse': 0.6212915010165819, 'coverage95': 0.5}"
4,Orujo30,0.2675554862865003,"{'alpha': 1e-10, 'kernel': RationalQuadratic(alpha=0.5, length_scale=1) + WhiteKernel(noise_level=1e-06), 'n_restarts_optimizer': 3, 'normalize_y': True}","{'mae': 0.34191854772957103, 'rmse': 0.4372121223714682, 'coverage95': 0.6666666666666666}"
5,Orujo50,0.2547812520153002,"{'alpha': 0.0001, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 3, 'normalize_y': True}","{'mae': 0.362370771162481, 'rmse': 0.3768978510374035, 'coverage95': 1.0}"
6,Orujo70,0.2648783139453364,"{'alpha': 1e-10, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=1e-06), 'n_restarts_optimizer': 8, 'normalize_y': True}","{'mae': 0.06376239056456567, 'rmse': 0.069846154199861, 'coverage95': 1.0}"
7,Orujo90,0.23878728157760604,"{'alpha': 0.0001, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.001), 'n_restarts_optimizer': 8, 'normalize_y': True}","{'mae': 0.47320853900530313, 'rmse': 0.48724579340136515, 'coverage95': 1.0}"
8,Quinoa15,0.2718607525990354,"{'alpha': 1e-08, 'kernel': RationalQuadratic(alpha=0.5, length_scale=1) + WhiteKernel(noise_level=1e-05), 'n_restarts_optimizer': 8, 'normalize_y': True}","{'mae': 0.08274187080098816, 'rmse': 0.11313851874936168, 'coverage95': 1.0}"
9,Quinoa30,0.23947791865328805,"{'alpha': 1e-06, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=1e-06), 'n_restarts_optimizer': 3, 'normalize_y': True}","{'mae': 0.31244397113129824, 'rmse': 0.31262185366279843, 'coverage95': 1.0}"
10,Quinoa50,0.2544921351603466,"{'alpha': 1e-08, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=1e-06), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 0.29276744063983023, 'rmse': 0.3263739535668023, 'coverage95': 1.0}"
