fold,diet,inner_best_score,params,metrics
0,Control,0.23765309618571995,"{'n_components': 1, 'scale': False}","{'mae': 0.11358206444479091, 'rmse': 0.13051517652822944, 'coverage95': None}"
1,Hoja15,0.22260141399176692,"{'n_components': 1, 'scale': False}","{'mae': 0.24624952799186195, 'rmse': 0.2536099434624923, 'coverage95': None}"
2,Hoja30,0.23815666739590374,"{'n_components': 1, 'scale': False}","{'mae': 0.08934597661961075, 'rmse': 0.09076369643303145, 'coverage95': None}"
3,Hoja50,0.20412303948706761,"{'n_components': 1, 'scale': False}","{'mae': 0.4480733900667173, 'rmse': 0.5589258273814826, 'coverage95': None}"
4,Orujo30,0.21734930755459972,"{'n_components': 1, 'scale': False}","{'mae': 0.3042011906730144, 'rmse': 0.38067608824386007, 'coverage95': None}"
5,Orujo50,0.21339701204041556,"{'n_components': 1, 'scale': False}","{'mae': 0.3654367158689862, 'rmse': 0.38194879954242444, 'coverage95': None}"
6,Orujo70,0.22606446594001825,"{'n_components': 1, 'scale': False}","{'mae': 0.2016669015654732, 'rmse': 0.20367224158687117, 'coverage95': None}"
7,Orujo90,0.23048651367103418,"{'n_components': 2, 'scale': False}","{'mae': 0.21992761365179891, 'rmse': 0.24869719951452451, 'coverage95': None}"
8,Quinoa15,0.21319183576371187,"{'n_components': 8, 'scale': False}","{'mae': 0.8791018808160102, 'rmse': 0.8829755581200276, 'coverage95': None}"
9,Quinoa30,0.19827678770532886,"{'n_components': 7, 'scale': False}","{'mae': 0.5425076683493917, 'rmse': 0.5426101349119478, 'coverage95': None}"
10,Quinoa50,0.23294536236415797,"{'n_components': 1, 'scale': False}","{'mae': 0.1740044115178722, 'rmse': 0.20499445871876493, 'coverage95': None}"
