fold,diet,inner_best_score,params,metrics
0,Control,2.543632239665395,"{'alpha': 0.0001, 'kernel': RationalQuadratic(alpha=0.5, length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 2.2242485333584505, 'rmse': 2.247010480248447, 'coverage95': 1.0}"
1,Hoja15,2.2192449299040784,"{'alpha': 0.0001, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 3.671763319642062, 'rmse': 3.8227788603840076, 'coverage95': 1.0}"
2,Hoja30,2.3592115177383484,"{'alpha': 1e-06, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1e-05), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 3.6930361646924617, 'rmse': 3.7651602623148617, 'coverage95': 1.0}"
3,Hoja50,2.57609155154901,"{'alpha': 0.0001, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=1e-05), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 6.106442069053184, 'rmse': 6.132116728286003, 'coverage95': 0.3333333333333333}"
4,Orujo30,2.612726002602656,"{'alpha': 1e-10, 'kernel': RationalQuadratic(alpha=0.5, length_scale=1) + WhiteKernel(noise_level=0.01), 'n_restarts_optimizer': 8, 'normalize_y': True}","{'mae': 1.6660747670938203, 'rmse': 2.0464009936552894, 'coverage95': 1.0}"
5,Orujo50,1.6763312427174437,"{'alpha': 0.0001, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=1e-05), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 4.050806123434344, 'rmse': 4.125486650150709, 'coverage95': 0.3333333333333333}"
6,Orujo70,2.588282669875226,"{'alpha': 0.0001, 'kernel': RationalQuadratic(alpha=0.5, length_scale=1) + WhiteKernel(noise_level=0.01), 'n_restarts_optimizer': 3, 'normalize_y': True}","{'mae': 2.6738709000283265, 'rmse': 2.728542730259159, 'coverage95': 1.0}"
7,Orujo90,2.781249236032465,"{'alpha': 1e-06, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.001), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 1.4613362579692672, 'rmse': 2.5020057989921853, 'coverage95': 1.0}"
8,Quinoa15,2.702795962705767,"{'alpha': 0.0001, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1e-05), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 0.9580629576778298, 'rmse': 1.366267142536323, 'coverage95': 1.0}"
9,Quinoa30,2.7743025813537687,"{'alpha': 1e-10, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1e-05), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 0.6363068919847853, 'rmse': 0.7208160118345489, 'coverage95': 1.0}"
10,Quinoa50,2.6309165490531936,"{'alpha': 1e-10, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1e-06), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 1.2501196026775183, 'rmse': 1.268678520522591, 'coverage95': 1.0}"
