fold,diet,inner_best_score,params,metrics
0,Control,2.0323105871821623,"{'n_components': 2, 'scale': True}","{'mae': 0.6045557128452165, 'rmse': 0.6835657760105658, 'coverage95': None}"
1,Hoja15,1.1949714460638408,"{'n_components': 7, 'scale': True}","{'mae': 7.323300626419647, 'rmse': 7.400170565929433, 'coverage95': None}"
2,Hoja30,1.849973028269352,"{'n_components': 1, 'scale': False}","{'mae': 5.588880263543455, 'rmse': 5.636798584960622, 'coverage95': None}"
3,Hoja50,1.8723633048770278,"{'n_components': 1, 'scale': False}","{'mae': 5.566094322389546, 'rmse': 5.59424944316569, 'coverage95': None}"
4,Orujo30,1.925248580862732,"{'n_components': 2, 'scale': True}","{'mae': 1.441851493506088, 'rmse': 1.8683917219395842, 'coverage95': None}"
5,Orujo50,1.480498622063235,"{'n_components': 2, 'scale': True}","{'mae': 3.580806765654683, 'rmse': 3.665076662755759, 'coverage95': None}"
6,Orujo70,1.9198348824552611,"{'n_components': 2, 'scale': True}","{'mae': 1.9435739490673736, 'rmse': 2.0181277304286653, 'coverage95': None}"
7,Orujo90,1.9686302996379255,"{'n_components': 1, 'scale': True}","{'mae': 2.2458568949815465, 'rmse': 2.260825400173257, 'coverage95': None}"
8,Quinoa15,1.8736468691413386,"{'n_components': 2, 'scale': True}","{'mae': 1.109495886366511, 'rmse': 1.1315652557674047, 'coverage95': None}"
9,Quinoa30,1.89188147086548,"{'n_components': 2, 'scale': True}","{'mae': 0.6825024393366531, 'rmse': 0.7984684244151683, 'coverage95': None}"
10,Quinoa50,1.785121119334076,"{'n_components': 2, 'scale': True}","{'mae': 1.3581513207148603, 'rmse': 1.4419509097503278, 'coverage95': None}"
