fold,diet,inner_best_score,params,metrics
0,Control,2.104554367399097,"{'alpha': 1e-06, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=1e-05), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 5.312279440007045, 'rmse': 5.341253559622347, 'coverage95': 0.6666666666666666}"
1,Hoja15,2.2317914937951313,"{'alpha': 1e-06, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=0.01), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 1.571716649464174, 'rmse': 1.6844303863638825, 'coverage95': 1.0}"
2,Hoja30,2.3209016570611043,"{'alpha': 1e-06, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=1e-05), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 0.9090764794363739, 'rmse': 0.9841665308798817, 'coverage95': 1.0}"
3,Hoja50,2.1678745844758933,"{'alpha': 0.0001, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=1e-05), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 1.9181675712336148, 'rmse': 2.3413590086353238, 'coverage95': 1.0}"
4,Orujo30,2.395170276740459,"{'alpha': 1e-08, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=0.001), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 0.5430052547125328, 'rmse': 0.5824348563749706, 'coverage95': 1.0}"
5,Orujo50,2.1050390923887132,"{'alpha': 0.0001, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=0.001), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 2.6847406799957025, 'rmse': 2.6934463538977975, 'coverage95': 1.0}"
6,Orujo70,1.4296102986785204,"{'alpha': 1e-10, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=1e-05), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 5.453035522778424, 'rmse': 5.5742218149628115, 'coverage95': 0.0}"
7,Orujo90,2.14933252703981,"{'alpha': 1e-10, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 2.9002522737686145, 'rmse': 2.907243507640281, 'coverage95': 1.0}"
8,Quinoa15,2.4482883578161947,"{'alpha': 1e-06, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=1e-06), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 0.9653352529694835, 'rmse': 1.055216772319611, 'coverage95': 1.0}"
9,Quinoa30,2.5066492514727967,"{'alpha': 1e-10, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=1e-06), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 0.8503787890445228, 'rmse': 1.0460065942527077, 'coverage95': 1.0}"
10,Quinoa50,2.386648041184987,"{'alpha': 1e-08, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=0.001), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 0.48584036173109, 'rmse': 0.4928095058254939, 'coverage95': 1.0}"
