fold,diet,inner_best_score,params,metrics
0,Control,1.7536244482606456,"{'n_components': 3, 'scale': False}","{'mae': 4.426117484370509, 'rmse': 4.460851121132282, 'coverage95': None}"
1,Hoja15,1.9871308936940877,"{'n_components': 2, 'scale': True}","{'mae': 1.762071579589399, 'rmse': 2.048412543017453, 'coverage95': None}"
2,Hoja30,2.0550735903998696,"{'n_components': 2, 'scale': True}","{'mae': 0.7947016585543789, 'rmse': 1.0577147090052819, 'coverage95': None}"
3,Hoja50,2.091086601840376,"{'n_components': 1, 'scale': True}","{'mae': 1.4596868154299265, 'rmse': 1.4751485365128507, 'coverage95': None}"
4,Orujo30,2.1608578211404175,"{'n_components': 2, 'scale': True}","{'mae': 0.4657693717876737, 'rmse': 0.6250993802372504, 'coverage95': None}"
5,Orujo50,2.1212841964704263,"{'n_components': 2, 'scale': True}","{'mae': 1.472284527649678, 'rmse': 1.4881002899193951, 'coverage95': None}"
6,Orujo70,1.2554221518143474,"{'n_components': 8, 'scale': True}","{'mae': 4.580624283255178, 'rmse': 4.72424292919733, 'coverage95': None}"
7,Orujo90,1.6843063038567163,"{'n_components': 1, 'scale': True}","{'mae': 4.941619834792731, 'rmse': 5.628635348192904, 'coverage95': None}"
8,Quinoa15,2.103697254780472,"{'n_components': 2, 'scale': True}","{'mae': 0.37603189177176155, 'rmse': 0.42696020644999394, 'coverage95': None}"
9,Quinoa30,2.033606639877981,"{'n_components': 2, 'scale': True}","{'mae': 0.7571124557462552, 'rmse': 0.887274631466815, 'coverage95': None}"
10,Quinoa50,2.057333408012071,"{'n_components': 2, 'scale': True}","{'mae': 0.516733193604216, 'rmse': 0.5409791307660182, 'coverage95': None}"
