fold,diet,inner_best_score,params,metrics
0,Control,1.8132541207548685,"{'alpha': np.float64(31.622776601683793), 'fit_intercept': True}","{'mae': 4.090477960491074, 'rmse': 4.12803666223061, 'coverage95': None}"
1,Hoja15,1.9807809762232353,"{'alpha': np.float64(31.622776601683793), 'fit_intercept': True}","{'mae': 1.6705660837940446, 'rmse': 1.8604977010222827, 'coverage95': None}"
2,Hoja30,2.037969443213918,"{'alpha': np.float64(31.622776601683793), 'fit_intercept': True}","{'mae': 0.9604206884931598, 'rmse': 0.98881044796454, 'coverage95': None}"
3,Hoja50,2.024107558711319,"{'alpha': np.float64(100.0), 'fit_intercept': True}","{'mae': 1.5399330124489257, 'rmse': 1.590049922806602, 'coverage95': None}"
4,Orujo30,2.1833646475692206,"{'alpha': np.float64(31.622776601683793), 'fit_intercept': True}","{'mae': 0.6429339268886665, 'rmse': 0.6571978552011687, 'coverage95': None}"
5,Orujo50,2.121766698911297,"{'alpha': np.float64(100.0), 'fit_intercept': True}","{'mae': 1.153483596797208, 'rmse': 1.1736034895064755, 'coverage95': None}"
6,Orujo70,1.2550003141377954,"{'alpha': np.float64(0.0031622776601683794), 'fit_intercept': True}","{'mae': 4.403544739963959, 'rmse': 4.552752871240455, 'coverage95': None}"
7,Orujo90,1.685415733716784,"{'alpha': np.float64(3.1622776601683795), 'fit_intercept': True}","{'mae': 5.7209036553500665, 'rmse': 6.32381751200234, 'coverage95': None}"
8,Quinoa15,2.116424333707074,"{'alpha': np.float64(31.622776601683793), 'fit_intercept': True}","{'mae': 0.5334216251426046, 'rmse': 0.6168694406681119, 'coverage95': None}"
9,Quinoa30,2.0800270393748077,"{'alpha': np.float64(31.622776601683793), 'fit_intercept': True}","{'mae': 0.8418408367232688, 'rmse': 1.0293331687226617, 'coverage95': None}"
10,Quinoa50,2.1022392830257095,"{'alpha': np.float64(31.622776601683793), 'fit_intercept': True}","{'mae': 0.5044566613915752, 'rmse': 0.520396546782594, 'coverage95': None}"
