fold,diet,inner_best_score,params,metrics
0,Control,0.05981718258493707,{'strategy': 'median'},"{'mae': 0.07808297654430979, 'rmse': 0.07808297654430978, 'coverage95': None}"
1,Hoja15,0.07107535798468886,{'strategy': 'mean'},"{'mae': 0.027261334661795977, 'rmse': 0.027261334661795977, 'coverage95': None}"
2,Hoja30,0.05883098392195298,{'strategy': 'median'},"{'mae': 0.08794496317415063, 'rmse': 0.08794496317415063, 'coverage95': None}"
3,Hoja50,0.06693433214059814,{'strategy': 'mean'},"{'mae': 0.0785065294824186, 'rmse': 0.0785065294824186, 'coverage95': None}"
4,Orujo30,0.0704324298676909,{'strategy': 'mean'},"{'mae': 0.035217570109645935, 'rmse': 0.035217570109645935, 'coverage95': None}"
5,Orujo50,0.0673405357783057,{'strategy': 'mean'},"{'mae': 0.07347975946578744, 'rmse': 0.07347975946578744, 'coverage95': None}"
6,Orujo70,0.06377469679912096,{'strategy': 'median'},"{'mae': 0.03850783440247091, 'rmse': 0.03850783440247091, 'coverage95': None}"
7,Orujo90,0.04374402443038729,{'strategy': 'median'},"{'mae': 0.23881455808980756, 'rmse': 0.23881455808980756, 'coverage95': None}"
8,Quinoa15,0.06507107647131805,{'strategy': 'mean'},"{'mae': 0.10156431838975999, 'rmse': 0.10156431838975999, 'coverage95': None}"
9,Quinoa30,0.06942684773057732,{'strategy': 'mean'},"{'mae': 0.04766164905642667, 'rmse': 0.04766164905642667, 'coverage95': None}"
10,Quinoa50,0.06469792954276551,{'strategy': 'median'},"{'mae': 0.02927550696602521, 'rmse': 0.02927550696602521, 'coverage95': None}"
