fold,diet,inner_best_score,params,metrics
0,Control,0.06059248377202185,"{'alpha': 1e-10, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.01), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 0.06728477454918819, 'rmse': 0.06728477454918819, 'coverage95': 1.0}"
1,Hoja15,0.05982378069650511,"{'alpha': 0.0001, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.001), 'n_restarts_optimizer': 3, 'normalize_y': True}","{'mae': 0.027261334661795977, 'rmse': 0.027261334661795977, 'coverage95': 1.0}"
2,Hoja30,0.053255354276114476,"{'alpha': 1e-08, 'kernel': RationalQuadratic(alpha=0.5, length_scale=1) + WhiteKernel(noise_level=1e-06), 'n_restarts_optimizer': 8, 'normalize_y': True}","{'mae': 0.09814070102144268, 'rmse': 0.09814070102144268, 'coverage95': 1.0}"
3,Hoja50,0.05305283193062105,"{'alpha': 1e-08, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.001), 'n_restarts_optimizer': 3, 'normalize_y': True}","{'mae': 0.102212201904672, 'rmse': 0.102212201904672, 'coverage95': 1.0}"
4,Orujo30,0.0629454683357501,"{'alpha': 1e-06, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.01), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 0.035217570109645935, 'rmse': 0.035217570109645935, 'coverage95': 1.0}"
5,Orujo50,0.0705483187272126,"{'alpha': 1e-06, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.01), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 0.07347975946578744, 'rmse': 0.07347975946578744, 'coverage95': 1.0}"
6,Orujo70,0.06960933331544297,"{'alpha': 1e-06, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.01), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 0.01688821176115085, 'rmse': 0.01688821176115085, 'coverage95': 1.0}"
7,Orujo90,0.04579041319174647,"{'alpha': 1e-08, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.01), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 0.23145656151306726, 'rmse': 0.23145656151306726, 'coverage95': 0.0}"
8,Quinoa15,0.06549087516981203,"{'alpha': 1e-10, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=0.001), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 0.09765127430197729, 'rmse': 0.09765127430197729, 'coverage95': 1.0}"
9,Quinoa30,0.06942652420124219,"{'alpha': 1e-10, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=0.001), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 0.04760514058276699, 'rmse': 0.04760514058276699, 'coverage95': 1.0}"
10,Quinoa50,0.06614925700645718,"{'alpha': 1e-08, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 0, 'normalize_y': True}","{'mae': 0.00024051669740121628, 'rmse': 0.00024051669740121628, 'coverage95': 1.0}"
