fold,diet,inner_best_score,params,metrics
0,Control,0.06758132711938167,"{'n_components': 1, 'scale': False}","{'mae': 0.15525218167872484, 'rmse': 0.15525218167872484, 'coverage95': None}"
1,Hoja15,0.08903666534006799,"{'n_components': 1, 'scale': False}","{'mae': 0.015682805263197153, 'rmse': 0.015682805263197153, 'coverage95': None}"
2,Hoja30,0.06455054726245403,"{'n_components': 5, 'scale': False}","{'mae': 0.11998756947548682, 'rmse': 0.11998756947548682, 'coverage95': None}"
3,Hoja50,0.0723162987926468,"{'n_components': 3, 'scale': False}","{'mae': 0.19407281004014854, 'rmse': 0.19407281004014854, 'coverage95': None}"
4,Orujo30,0.0875158891213439,"{'n_components': 1, 'scale': False}","{'mae': 0.022658487680347117, 'rmse': 0.022658487680347117, 'coverage95': None}"
5,Orujo50,0.047907891203248586,"{'n_components': 8, 'scale': True}","{'mae': 0.24621282376205259, 'rmse': 0.2462128237620526, 'coverage95': None}"
6,Orujo70,0.08994313365113703,"{'n_components': 5, 'scale': False}","{'mae': 0.104692034688669, 'rmse': 0.104692034688669, 'coverage95': None}"
7,Orujo90,0.051743973223962514,"{'n_components': 5, 'scale': False}","{'mae': 0.21751118958606463, 'rmse': 0.21751118958606463, 'coverage95': None}"
8,Quinoa15,0.08364716418729712,"{'n_components': 1, 'scale': False}","{'mae': 0.06499227546898773, 'rmse': 0.06499227546898773, 'coverage95': None}"
9,Quinoa30,0.08678938637639758,"{'n_components': 1, 'scale': False}","{'mae': 0.029470990280863196, 'rmse': 0.029470990280863196, 'coverage95': None}"
10,Quinoa50,0.08704068006164098,"{'n_components': 5, 'scale': False}","{'mae': 0.05943085782877411, 'rmse': 0.05943085782877411, 'coverage95': None}"
