fold,diet,inner_best_score,params,metrics
0,Control,0.250497526233763,"{'alpha': 1, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.23413003739638114, 'rmse': 0.26375841278537854, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,0.25397208365494406,"{'alpha': 1, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.27700462529940945, 'rmse': 0.298540894075502, 'coverage95': 0.3333333333333333, '_inside95': 1}"
2,Hoja30,0.2610670909647915,"{'alpha': 1, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.13896329118288434, 'rmse': 0.16413512249739207, 'coverage95': 1.0, '_inside95': 3}"
3,Hoja50,0.2301099042326177,"{'alpha': 1, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.47482442629611565, 'rmse': 0.5805915547401888, 'coverage95': 0.5, '_inside95': 1}"
4,Orujo30,0.23640260433435506,"{'alpha': 1e-05, 'kernel': RBF(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.30984284656250544, 'rmse': 0.37743310010395564, 'coverage95': 1.0, '_inside95': 3}"
5,Orujo50,0.24126698988980758,"{'alpha': 1, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.3598053073485475, 'rmse': 0.3727932352791658, 'coverage95': 0.0, '_inside95': 0}"
6,Orujo70,0.2720412208278844,"{'alpha': 1, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.050419035675099165, 'rmse': 0.057921688204069614, 'coverage95': 1.0, '_inside95': 3}"
7,Orujo90,0.24260126257696676,"{'alpha': 0.01, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.3281209045412823, 'rmse': 0.3480595779414518, 'coverage95': 1.0, '_inside95': 2}"
8,Quinoa15,0.2710743909147988,"{'alpha': 1, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.0800497668013876, 'rmse': 0.10778230361174758, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,0.23504526333034156,"{'alpha': 1, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.29084973114981477, 'rmse': 0.29104081226039097, 'coverage95': 0.0, '_inside95': 0}"
10,Quinoa50,0.23797227655956968,"{'alpha': 0.01, 'kernel': DotProduct(sigma_0=1) + RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.5461357814257383, 'rmse': 0.5648641208481296, 'coverage95': 1.0, '_inside95': 3}"
