fold,diet,inner_best_score,params,metrics
0,Control,0.25054545858218574,"{'n_components': 3, 'scale': True}","{'n_samples': 3, 'mae': 0.18077632450405182, 'rmse': 0.21778821227289957, 'coverage95': None, '_inside95': None}"
1,Hoja15,0.24065974803519144,"{'n_components': 1, 'scale': True}","{'n_samples': 3, 'mae': 0.26848519034728674, 'rmse': 0.28381248797780206, 'coverage95': None, '_inside95': None}"
2,Hoja30,0.2461446297439538,"{'n_components': 1, 'scale': True}","{'n_samples': 3, 'mae': 0.13072924758405832, 'rmse': 0.15722492904990865, 'coverage95': None, '_inside95': None}"
3,Hoja50,0.2212849994273982,"{'n_components': 1, 'scale': True}","{'n_samples': 2, 'mae': 0.4298753572378542, 'rmse': 0.5444457184959461, 'coverage95': None, '_inside95': None}"
4,Orujo30,0.23053871674125195,"{'n_components': 1, 'scale': True}","{'n_samples': 3, 'mae': 0.3036713990056786, 'rmse': 0.3810178273068647, 'coverage95': None, '_inside95': None}"
5,Orujo50,0.22787307965778641,"{'n_components': 1, 'scale': True}","{'n_samples': 3, 'mae': 0.37835523521649156, 'rmse': 0.4048375627426593, 'coverage95': None, '_inside95': None}"
6,Orujo70,0.24478562977623328,"{'n_components': 1, 'scale': True}","{'n_samples': 3, 'mae': 0.16250183274999044, 'rmse': 0.16498390361822698, 'coverage95': None, '_inside95': None}"
7,Orujo90,0.24545428887620493,"{'n_components': 1, 'scale': True}","{'n_samples': 2, 'mae': 0.1560041990829779, 'rmse': 0.19447223948757747, 'coverage95': None, '_inside95': None}"
8,Quinoa15,0.2518429616855743,"{'n_components': 1, 'scale': True}","{'n_samples': 3, 'mae': 0.12969871016272125, 'rmse': 0.15377735464300796, 'coverage95': None, '_inside95': None}"
9,Quinoa30,0.22878493192950927,"{'n_components': 1, 'scale': True}","{'n_samples': 3, 'mae': 0.23797150935788203, 'rmse': 0.2382050116125544, 'coverage95': None, '_inside95': None}"
10,Quinoa50,0.2361628201416183,"{'n_components': 1, 'scale': True}","{'n_samples': 3, 'mae': 0.2910772779755593, 'rmse': 0.3248586846948835, 'coverage95': None, '_inside95': None}"
