fold,diet,inner_best_score,params,metrics
0,Control,0.2527015236233811,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.11027283496163931, 'rmse': 0.12486464297195352, 'coverage95': None, '_inside95': None}"
1,Hoja15,0.24478913057405297,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.2791446753377737, 'rmse': 0.30246738091670416, 'coverage95': None, '_inside95': None}"
2,Hoja30,0.2505131494089066,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.13844363234563314, 'rmse': 0.16369539235393163, 'coverage95': None, '_inside95': None}"
3,Hoja50,0.21972994553763744,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 2, 'mae': 0.4614358231190736, 'rmse': 0.5696940727142693, 'coverage95': None, '_inside95': None}"
4,Orujo30,0.22980705174686653,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.30156936556676844, 'rmse': 0.3875166833015656, 'coverage95': None, '_inside95': None}"
5,Orujo50,0.23030395042569177,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.35749040437784, 'rmse': 0.36918805576778546, 'coverage95': None, '_inside95': None}"
6,Orujo70,0.25785172678606566,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.05631372167058616, 'rmse': 0.063119553661245, 'coverage95': None, '_inside95': None}"
7,Orujo90,0.23739968960001714,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 2, 'mae': 0.2933629850599129, 'rmse': 0.3155059156387641, 'coverage95': None, '_inside95': None}"
8,Quinoa15,0.25932166832672304,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.07752144263393723, 'rmse': 0.10307523685337922, 'coverage95': None, '_inside95': None}"
9,Quinoa30,0.2335749657196749,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.2929312673683786, 'rmse': 0.29312099156033355, 'coverage95': None, '_inside95': None}"
10,Quinoa50,0.23941055917244408,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.26478089987611925, 'rmse': 0.30152298122570387, 'coverage95': None, '_inside95': None}"
