fold,diet,inner_best_score,params,metrics
0,Control,2.418218293565398,"{'alpha': 1, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.55757110579444, 'rmse': 1.5899063839751235, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,1.3362566352982086,"{'alpha': 0.01, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 7.065967855360435, 'rmse': 7.145606627356207, 'coverage95': 0.0, '_inside95': 0}"
2,Hoja30,2.1916939016716794,"{'alpha': 1, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.2937213276680524, 'rmse': 3.374391185313865, 'coverage95': 0.0, '_inside95': 0}"
3,Hoja50,1.6996746915386587,"{'alpha': 1e-10, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 5.391961353342445, 'rmse': 5.421020942826267, 'coverage95': 0.6666666666666666, '_inside95': 2}"
4,Orujo30,2.4803244428698026,"{'alpha': 1, 'kernel': RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.300020171398253, 'rmse': 1.761250789447367, 'coverage95': 1.0, '_inside95': 3}"
5,Orujo50,1.6666674871271758,"{'alpha': 1, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 4.036764232023558, 'rmse': 4.111699808578357, 'coverage95': 0.0, '_inside95': 0}"
6,Orujo70,2.5414371652927104,"{'alpha': 1, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.0432067320375986, 'rmse': 2.114250124908492, 'coverage95': 1.0, '_inside95': 3}"
7,Orujo90,2.530794271806752,"{'alpha': 1, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.5990666717001205, 'rmse': 2.8877972866452906, 'coverage95': 0.3333333333333333, '_inside95': 1}"
8,Quinoa15,2.5551826415579555,"{'alpha': 1, 'kernel': Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.8557868381787834, 'rmse': 1.1479769434226723, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,2.4260260396016196,"{'alpha': 0.01, 'kernel': RBF(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.6639538501940182, 'rmse': 0.7652230792939445, 'coverage95': 1.0, '_inside95': 3}"
10,Quinoa50,2.4733488418205853,"{'alpha': 1, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.2871556665275155, 'rmse': 1.3217027211108099, 'coverage95': 1.0, '_inside95': 3}"
