fold,diet,inner_best_score,params,metrics
0,Control,2.086174487398526,"{'alpha': 10.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.6464671304806066, 'rmse': 0.7208982667415486, 'coverage95': None, '_inside95': None}"
1,Hoja15,1.319464729617153,"{'alpha': 0.1, 'fit_intercept': True}","{'n_samples': 3, 'mae': 7.19410258769557, 'rmse': 7.272338302239387, 'coverage95': None, '_inside95': None}"
2,Hoja30,1.967332519400668,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 3.920228526102626, 'rmse': 3.988246153894877, 'coverage95': None, '_inside95': None}"
3,Hoja50,2.0026374856320572,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 3.4716527183866503, 'rmse': 3.5166167581503562, 'coverage95': None, '_inside95': None}"
4,Orujo30,2.0747204861372763,"{'alpha': 10.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 1.9344453159499426, 'rmse': 2.27024901226436, 'coverage95': None, '_inside95': None}"
5,Orujo50,1.5486511968958714,"{'alpha': 10.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 3.7397701917815325, 'rmse': 3.820535425598907, 'coverage95': None, '_inside95': None}"
6,Orujo70,2.0960785400235715,"{'alpha': 10.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 1.8540397255015495, 'rmse': 1.9320515377623009, 'coverage95': None, '_inside95': None}"
7,Orujo90,2.1388480245372223,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 1.6298207384261307, 'rmse': 2.2034272335310368, 'coverage95': None, '_inside95': None}"
8,Quinoa15,2.005561734413019,"{'alpha': 10.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 1.084840241075413, 'rmse': 1.1105171932555846, 'coverage95': None, '_inside95': None}"
9,Quinoa30,2.0256008289820047,"{'alpha': 10.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.6572421698518814, 'rmse': 0.7538445633265557, 'coverage95': None, '_inside95': None}"
10,Quinoa50,1.955760826315514,"{'alpha': 10.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 1.3545565775696566, 'rmse': 1.4353449594103953, 'coverage95': None, '_inside95': None}"
