fold,diet,inner_best_score,params,metrics
0,Control,1.8603363392141845,"{'alpha': 1, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 4.82673004016386, 'rmse': 4.858600582480211, 'coverage95': 0.0, '_inside95': 0}"
1,Hoja15,2.07826820856465,"{'alpha': 1, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.5854807390925536, 'rmse': 1.7069486135381435, 'coverage95': 1.0, '_inside95': 3}"
2,Hoja30,2.1103765216713457,"{'alpha': 1e-05, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 4.143056076221828, 'rmse': 4.258082022339883, 'coverage95': 0.6666666666666666, '_inside95': 2}"
3,Hoja50,2.064321630053289,"{'alpha': 1, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.820567435615576, 'rmse': 2.1613480640359923, 'coverage95': 1.0, '_inside95': 3}"
4,Orujo30,2.2366845593294027,"{'alpha': 1e-10, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.5531435901901679, 'rmse': 0.5834725538323963, 'coverage95': 1.0, '_inside95': 3}"
5,Orujo50,1.9889227439576007,"{'alpha': 1, 'kernel': RBF(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.4573461332286186, 'rmse': 3.4641107123549664, 'coverage95': 0.0, '_inside95': 0}"
6,Orujo70,1.3361037797150075,"{'alpha': 1, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 5.519087919654605, 'rmse': 5.638854838936834, 'coverage95': 0.0, '_inside95': 0}"
7,Orujo90,1.8132230779048584,"{'alpha': 1, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 6.497525845349453, 'rmse': 7.034185908994286, 'coverage95': 0.3333333333333333, '_inside95': 1}"
8,Quinoa15,2.2830954462818465,"{'alpha': 1, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.8929244680299243, 'rmse': 0.9894060802145319, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,2.2539826985176434,"{'alpha': 1, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.8940677261295388, 'rmse': 1.1365430269316388, 'coverage95': 1.0, '_inside95': 3}"
10,Quinoa50,2.221424320373718,"{'alpha': 1, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.44930210286372557, 'rmse': 0.45402452949292477, 'coverage95': 1.0, '_inside95': 3}"
