fold,diet,inner_best_score,params,metrics
0,Control,1.8527526519341246,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 4.297638163373025, 'rmse': 4.33340172644276, 'coverage95': None, '_inside95': None}"
1,Hoja15,1.96213008525829,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 1.629523726636955, 'rmse': 1.7835226340162402, 'coverage95': None, '_inside95': None}"
2,Hoja30,2.0414753137950408,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 1.039931799749074, 'rmse': 1.041909245903732, 'coverage95': None, '_inside95': None}"
3,Hoja50,2.0054574067388296,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 1.5325868911866085, 'rmse': 1.578352715315819, 'coverage95': None, '_inside95': None}"
4,Orujo30,2.1616000909102717,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.6088392959449779, 'rmse': 0.6165117464562988, 'coverage95': None, '_inside95': None}"
5,Orujo50,2.096954019242486,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 1.1560214376766702, 'rmse': 1.1760979155111142, 'coverage95': None, '_inside95': None}"
6,Orujo70,1.262627523132879,"{'alpha': 0.01, 'fit_intercept': True}","{'n_samples': 3, 'mae': 4.4566317853903445, 'rmse': 4.6041198181927765, 'coverage95': None, '_inside95': None}"
7,Orujo90,1.69103470678288,"{'alpha': 10.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 4.818472732303479, 'rmse': 5.5208340640941085, 'coverage95': None, '_inside95': None}"
8,Quinoa15,2.1163310734440626,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.8763265146188356, 'rmse': 0.9744528958256308, 'coverage95': None, '_inside95': None}"
9,Quinoa30,2.095832832277958,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.9779982263484787, 'rmse': 1.2557383373093527, 'coverage95': None, '_inside95': None}"
10,Quinoa50,2.1184689051623216,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.4087921570361918, 'rmse': 0.439902880075622, 'coverage95': None, '_inside95': None}"
