fold,diet,inner_best_score,params,metrics
0,Control,0.06118617383506251,"{'alpha': 1e-05, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.07924565921761134, 'rmse': 0.07924565921761134, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,0.05741312501999514,"{'alpha': 1e-10, 'kernel': RBF(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.05483495002306976, 'rmse': 0.05483495002306976, 'coverage95': 0.0, '_inside95': 0}"
2,Hoja30,0.054229384023978824,"{'alpha': 1e-10, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.09428952077187819, 'rmse': 0.09428952077187819, 'coverage95': 1.0, '_inside95': 3}"
3,Hoja50,0.0504371780549228,"{'alpha': 0.01, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.20092384836252997, 'rmse': 0.20092384836252997, 'coverage95': 0.0, '_inside95': 0}"
4,Orujo30,0.06845177606249282,"{'alpha': 1, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.019895044408377083, 'rmse': 0.019895044408377083, 'coverage95': 1.0, '_inside95': 3}"
5,Orujo50,0.057264633709835346,"{'alpha': 1e-10, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.25328306544978973, 'rmse': 0.25328306544978973, 'coverage95': 0.0, '_inside95': 0}"
6,Orujo70,0.0742630660225807,"{'alpha': 1, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.0005432510516507061, 'rmse': 0.0005432510516507061, 'coverage95': 1.0, '_inside95': 3}"
7,Orujo90,0.04278213470139948,"{'alpha': 1e-10, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], nu=2.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.24044640819103325, 'rmse': 0.24044640819103325, 'coverage95': 0.0, '_inside95': 0}"
8,Quinoa15,0.06662420434736356,"{'alpha': 1, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.09791529479080996, 'rmse': 0.09791529479080996, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,0.07027508091775957,"{'alpha': 1, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.04766164898484487, 'rmse': 0.04766164898484487, 'coverage95': 1.0, '_inside95': 3}"
10,Quinoa50,0.0698752920845399,"{'alpha': 1, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.014585261101845937, 'rmse': 0.014585261101845935, 'coverage95': 1.0, '_inside95': 3}"
