fold,diet,inner_best_score,params,metrics
0,Control,0.0742465540561722,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.11082859269301931, 'rmse': 0.11082859269301931, 'coverage95': None, '_inside95': None}"
1,Hoja15,0.09012383834404947,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.0032288428124335744, 'rmse': 0.0032288428124335744, 'coverage95': None, '_inside95': None}"
2,Hoja30,0.07896471541308639,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.08944443056976198, 'rmse': 0.08944443056976198, 'coverage95': None, '_inside95': None}"
3,Hoja50,0.07152726898245006,"{'alpha': 10.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.20076321908050665, 'rmse': 0.20076321908050665, 'coverage95': None, '_inside95': None}"
4,Orujo30,0.08088996385101101,"{'alpha': 0.1, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.21543205455168768, 'rmse': 0.2154320545516877, 'coverage95': None, '_inside95': None}"
5,Orujo50,0.0679430912799279,"{'alpha': 0.01, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.23359089802829888, 'rmse': 0.23359089802829885, 'coverage95': None, '_inside95': None}"
6,Orujo70,0.09070638451804669,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.0408439751038045, 'rmse': 0.0408439751038045, 'coverage95': None, '_inside95': None}"
7,Orujo90,0.05697905268000174,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.2397068501102393, 'rmse': 0.2397068501102393, 'coverage95': None, '_inside95': None}"
8,Quinoa15,0.08252787383622717,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.07434452849074252, 'rmse': 0.07434452849074252, 'coverage95': None, '_inside95': None}"
9,Quinoa30,0.08790163483022452,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.018461105777395403, 'rmse': 0.018461105777395403, 'coverage95': None, '_inside95': None}"
10,Quinoa50,0.08361123695493086,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.030527670927243178, 'rmse': 0.030527670927243178, 'coverage95': None, '_inside95': None}"
