fold,diet,inner_best_score,params,metrics
0,Control,0.2754767499829849,{'strategy': 'mean'},"{'n_samples': 3, 'mae': 0.23413003739638114, 'rmse': 0.26375841278537854, 'r2': -3.715988648884708, 'max_error': 0.38061492881304915, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
1,Hoja15,0.2709017278954749,{'strategy': 'mean'},"{'n_samples': 3, 'mae': 0.2979761808937053, 'rmse': 0.34030355412558483, 'r2': -1.0489670022643502, 'max_error': 0.47994588224752865, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
2,Hoja30,0.29108745294255006,{'strategy': 'mean'},"{'n_samples': 3, 'mae': 0.10730148000867194, 'rmse': 0.11746148054058579, 'r2': -0.8083915333405083, 'max_error': 0.15778571607124348, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
3,Hoja50,0.2450419293139967,{'strategy': 'median'},"{'n_samples': 2, 'mae': 0.5613929421735095, 'rmse': 0.6532919356232891, 'r2': -2.823316181938302, 'max_error': 0.8955011845564149, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
4,Orujo30,0.2704480770154105,{'strategy': 'mean'},"{'n_samples': 3, 'mae': 0.3210832505269267, 'rmse': 0.37318255036935083, 'r2': -0.006701043763798875, 'max_error': 0.5272951432660684, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
5,Orujo50,0.2687074633134068,{'strategy': 'mean'},"{'n_samples': 3, 'mae': 0.32933151131181965, 'rmse': 0.33389206814832384, 'r2': -0.10891763435971513, 'max_error': 0.3925061764829523, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
6,Orujo70,0.2821101439516417,{'strategy': 'median'},"{'n_samples': 3, 'mae': 0.15261216093391114, 'rmse': 0.15525242178761828, 'r2': -28.653106717469303, 'max_error': 0.18477746295646202, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
7,Orujo90,0.24977542610154146,{'strategy': 'median'},"{'n_samples': 2, 'mae': 0.5140579742980615, 'rmse': 0.5270082947537152, 'r2': -19.600416971100085, 'max_error': 0.630170599795, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
8,Quinoa15,0.29276391825027726,{'strategy': 'mean'},"{'n_samples': 3, 'mae': 0.0922482669684462, 'rmse': 0.09831285296291749, 'r2': -0.4160290681740677, 'max_error': 0.13875383530946372, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
9,Quinoa30,0.2661917444481249,{'strategy': 'mean'},"{'n_samples': 3, 'mae': 0.31502456417233615, 'rmse': 0.3152009903589121, 'r2': -892.5443038979545, 'max_error': 0.32669783565055543, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
10,Quinoa50,0.2700329720915867,{'strategy': 'median'},"{'n_samples': 3, 'mae': 0.27338387953446036, 'rmse': 0.3091050450208489, 'r2': -3.591968438330251, 'max_error': 0.4356812140403954, 'nlpd': None, 'coverage_50': None, 'coverage_90': None, 'coverage_95': None, 'mean_interval_width_95': None, 'median_interval_width_95': None, 'calibration_error_95': None, 'sharpness': None, '_inside_50': None, '_inside_90': None, '_inside_95': None, 'coverage95': None, '_inside95': None}"
