fold,diet,inner_best_score,params,metrics
0,Control,0.23261432715040714,"{'alpha': 1e-05, 'kernel': RBF(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.23413003739638114, 'rmse': 0.26375841278537854, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,0.2388885715523748,"{'alpha': 1e-05, 'kernel': RBF(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.30138890917549627, 'rmse': 0.34770261244724066, 'coverage95': 1.0, '_inside95': 3}"
2,Hoja30,0.2607100334433839,"{'alpha': 1, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.1060897042427762, 'rmse': 0.11506267107267858, 'coverage95': 1.0, '_inside95': 3}"
3,Hoja50,0.22638607274902717,"{'alpha': 1, 'kernel': RBF(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.46303819224726417, 'rmse': 0.5709927189621673, 'coverage95': 0.0, '_inside95': 0}"
4,Orujo30,0.23737173350123592,"{'alpha': 1, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.32716104863852974, 'rmse': 0.415650424718672, 'coverage95': 0.3333333333333333, '_inside95': 1}"
5,Orujo50,0.24537339366761918,"{'alpha': 1, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.3553467702732778, 'rmse': 0.3659354738103571, 'coverage95': 0.0, '_inside95': 0}"
6,Orujo70,0.27177290257125264,"{'alpha': 1, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.06519163700016661, 'rmse': 0.07115330168561428, 'coverage95': 1.0, '_inside95': 3}"
7,Orujo90,0.24081355501088963,"{'alpha': 1, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 2, 'mae': 0.3360870855231364, 'rmse': 0.35557934537206776, 'coverage95': 0.5, '_inside95': 1}"
8,Quinoa15,0.26471130813399657,"{'alpha': 1, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.10679140465948089, 'rmse': 0.13501897456384745, 'coverage95': 0.6666666666666666, '_inside95': 2}"
9,Quinoa30,0.2233552731708765,"{'alpha': 1, 'kernel': RBF(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.2985297569107366, 'rmse': 0.29871592534120456, 'coverage95': 0.0, '_inside95': 0}"
10,Quinoa50,0.2287769388199295,"{'alpha': 1e-05, 'kernel': DotProduct(sigma_0=1) + RationalQuadratic(alpha=0.5, length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.47956989365662933, 'rmse': 0.5007938359942737, 'coverage95': 1.0, '_inside95': 3}"
