fold,diet,inner_best_score,params,metrics
0,Control,2.3035828235152302,"{'alpha': 1, 'kernel': DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.9086937668000843, 'rmse': 0.9630674545536606, 'coverage95': 1.0, '_inside95': 3}"
1,Hoja15,1.4681088738404628,"{'alpha': 1, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 5.276940843025372, 'rmse': 5.38311220398751, 'coverage95': 0.3333333333333333, '_inside95': 1}"
2,Hoja30,1.8613587740930768,"{'alpha': 1e-05, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.485684256701282, 'rmse': 3.562009324047829, 'coverage95': 0.3333333333333333, '_inside95': 1}"
3,Hoja50,1.6097891879116717,"{'alpha': 1e-05, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 5.3919727338755585, 'rmse': 5.421032262353727, 'coverage95': 0.6666666666666666, '_inside95': 2}"
4,Orujo30,2.4198148419067462,"{'alpha': 1, 'kernel': DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.713513379190451, 'rmse': 2.9622806680549716, 'coverage95': 1.0, '_inside95': 3}"
5,Orujo50,1.8530171809764902,"{'alpha': 1, 'kernel': DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 3.2107914896297154, 'rmse': 3.304510832301379, 'coverage95': 0.6666666666666666, '_inside95': 2}"
6,Orujo70,2.436401477295757,"{'alpha': 1, 'kernel': DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.3297483180295644, 'rmse': 2.392297445175536, 'coverage95': 1.0, '_inside95': 3}"
7,Orujo90,2.4943660560716823,"{'alpha': 1, 'kernel': RBF(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.666534522067822, 'rmse': 3.0350309354121867, 'coverage95': 0.3333333333333333, '_inside95': 1}"
8,Quinoa15,2.3141396617739067,"{'alpha': 1, 'kernel': DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.0064105801965961, 'rmse': 1.0751263695562392, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,2.2678153263516627,"{'alpha': 1, 'kernel': DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.610461673053802, 'rmse': 0.6858048679480344, 'coverage95': 1.0, '_inside95': 3}"
10,Quinoa50,2.2810267410758778,"{'alpha': 1, 'kernel': DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.1951478163195617, 'rmse': 1.2046559414109255, 'coverage95': 1.0, '_inside95': 3}"
