fold,diet,inner_best_score,params,metrics
0,Control,1.8008921462956757,"{'alpha': 1, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 4.790420159913034, 'rmse': 4.8225306684310505, 'coverage95': 0.0, '_inside95': 0}"
1,Hoja15,2.0685177592821384,"{'alpha': 1, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 1.5482023851827957, 'rmse': 1.647643699884597, 'coverage95': 1.0, '_inside95': 3}"
2,Hoja30,1.9388420402290982,"{'alpha': 1e-10, 'kernel': Matern(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1], nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 4.4564921082964295, 'rmse': 4.56362474022173, 'coverage95': 0.6666666666666666, '_inside95': 2}"
3,Hoja50,2.0287060959143353,"{'alpha': 0.01, 'kernel': RBF(length_scale=[1, 1, 1, 1, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.9077510950666206, 'rmse': 3.202750631386504, 'coverage95': 0.3333333333333333, '_inside95': 1}"
4,Orujo30,2.215755905608998,"{'alpha': 1, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.6372703752833638, 'rmse': 0.6495009562950244, 'coverage95': 1.0, '_inside95': 3}"
5,Orujo50,2.071823656281739,"{'alpha': 1, 'kernel': Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 2.2090148347949286, 'rmse': 2.2195871874845596, 'coverage95': 1.0, '_inside95': 3}"
6,Orujo70,1.2774258869742823,"{'alpha': 0.01, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 5.076264796175903, 'rmse': 5.206228645633876, 'coverage95': 0.0, '_inside95': 0}"
7,Orujo90,1.6503432769758497,"{'alpha': 1, 'kernel': DotProduct(sigma_0=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 5.735646499982233, 'rmse': 6.337157885366922, 'coverage95': 0.3333333333333333, '_inside95': 1}"
8,Quinoa15,2.2315492834654327,"{'alpha': 1, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.9477563057616614, 'rmse': 1.039159420430741, 'coverage95': 1.0, '_inside95': 3}"
9,Quinoa30,2.219060131635102,"{'alpha': 1, 'kernel': Matern(length_scale=1, nu=0.5) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.9007571305659683, 'rmse': 1.151094480240277, 'coverage95': 1.0, '_inside95': 3}"
10,Quinoa50,2.1418049406787705,"{'alpha': 1, 'kernel': RBF(length_scale=1) + WhiteKernel(noise_level=0.0001), 'n_restarts_optimizer': 15, 'normalize_y': True}","{'n_samples': 3, 'mae': 0.5367247704540631, 'rmse': 0.5779609516232136, 'coverage95': 1.0, '_inside95': 3}"
