fold,diet,inner_best_score,params,metrics
0,Control,1.804741938145759,"{'alpha': 10.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 3.8134604734845765, 'rmse': 3.8537199589858657, 'coverage95': None, '_inside95': None}"
1,Hoja15,2.0266315522147687,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 1.5283102770832666, 'rmse': 1.6182726888538213, 'coverage95': None, '_inside95': None}"
2,Hoja30,2.0547998317236615,"{'alpha': 10.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.8629242053493643, 'rmse': 1.000422448876361, 'coverage95': None, '_inside95': None}"
3,Hoja50,2.0254101809862575,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 1.6875327011538968, 'rmse': 1.865136568298816, 'coverage95': None, '_inside95': None}"
4,Orujo30,2.183564353299194,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.6723287159084054, 'rmse': 0.7024130446935238, 'coverage95': None, '_inside95': None}"
5,Orujo50,2.166898523009373,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.9000894959861684, 'rmse': 0.9257331382672798, 'coverage95': None, '_inside95': None}"
6,Orujo70,1.2868972126741163,"{'alpha': 0.1, 'fit_intercept': True}","{'n_samples': 3, 'mae': 5.002842028388557, 'rmse': 5.134664623004592, 'coverage95': None, '_inside95': None}"
7,Orujo90,1.5244332238872358,"{'alpha': 0.01, 'fit_intercept': True}","{'n_samples': 3, 'mae': 5.810182273310879, 'rmse': 6.404697287179597, 'coverage95': None, '_inside95': None}"
8,Quinoa15,2.141195335436672,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 1.158954301544892, 'rmse': 1.2348219948755246, 'coverage95': None, '_inside95': None}"
9,Quinoa30,2.1078955024096917,"{'alpha': 10.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.8120008820310206, 'rmse': 0.9741133027540873, 'coverage95': None, '_inside95': None}"
10,Quinoa50,2.0907064977796095,"{'alpha': 10.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.6033098025043856, 'rmse': 0.7237024011723989, 'coverage95': None, '_inside95': None}"
