fold,diet,inner_best_score,params,metrics
0,Control,0.07038349138062765,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.1031117492184151, 'rmse': 0.1031117492184151, 'coverage95': None, '_inside95': None}"
1,Hoja15,0.08542324855620263,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.004658042356092296, 'rmse': 0.004658042356092296, 'coverage95': None, '_inside95': None}"
2,Hoja30,0.07440573190436911,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.08372031483579973, 'rmse': 0.08372031483579973, 'coverage95': None, '_inside95': None}"
3,Hoja50,0.06780729135789695,"{'alpha': 10.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.19326832521586135, 'rmse': 0.19326832521586135, 'coverage95': None, '_inside95': None}"
4,Orujo30,0.08169367785498141,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.03738965121417448, 'rmse': 0.03738965121417448, 'coverage95': None, '_inside95': None}"
5,Orujo50,0.07679111695893695,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.09823539471836285, 'rmse': 0.09823539471836285, 'coverage95': None, '_inside95': None}"
6,Orujo70,0.08593412914353374,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.032202074396939284, 'rmse': 0.032202074396939284, 'coverage95': None, '_inside95': None}"
7,Orujo90,0.0539132086950191,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.23925687326319767, 'rmse': 0.23925687326319767, 'coverage95': None, '_inside95': None}"
8,Quinoa15,0.07802024478759698,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.07586175119571492, 'rmse': 0.07586175119571492, 'coverage95': None, '_inside95': None}"
9,Quinoa30,0.0828488781933898,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.022123704546404332, 'rmse': 0.022123704546404332, 'coverage95': None, '_inside95': None}"
10,Quinoa50,0.07976692586535576,"{'alpha': 100.0, 'fit_intercept': True}","{'n_samples': 3, 'mae': 0.02457512729206973, 'rmse': 0.02457512729206973, 'coverage95': None, '_inside95': None}"
