target,comparison,model,feature_mode,mae,mae_std,relative_mae
FCR,Dummy,Dummy,FULL_FEATURES,0.290776568019839,0.1489328437311012,1.0
FCR,Mejor GP simple,GP_RBF_NoARD,FULL_FEATURES,0.2481902394557439,0.13338923046452,0.8535427773492755
FCR,GP compuesto,GP_Compuesto_NoARD,FULL_FEATURES,0.2447411421748837,0.1272681809203444,0.8416811018905266
FCR,ARD selectivo,GP_RBF_ARD,REDUCED_FEATURES,0.26713981030839,0.119600529785281,0.9187116146517134
Quitina,Dummy,Dummy,FULL_FEATURES,2.2927375204010363,1.942537363398528,1.0
Quitina,Mejor GP simple,GP_RBF_NoARD,REDUCED_FEATURES,1.964606065315,1.594553388701058,0.8568822413528432
Quitina,GP compuesto,GP_Compuesto_NoARD,REDUCED_FEATURES,1.9392403605553512,1.6823962066131968,0.8458187399559576
Quitina,ARD selectivo,GP_Matern52_ARD,FULL_FEATURES,2.4893975549420846,1.881970387753226,1.0857752066214057
Proteina,Dummy,Dummy,FULL_FEATURES,3.083644306637729,1.8268317644182432,1.0
Proteina,Mejor GP simple,GP_Matern32_NoARD,FULL_FEATURES,2.3095557455083284,1.5961069635582192,0.7489695684216469
Proteina,GP compuesto,GP_Compuesto_NoARD,FULL_FEATURES,1.95434617325352,1.2046489657623505,0.6337780816829856
Proteina,ARD selectivo,GP_Matern32_ARD,REDUCED_FEATURES,2.539405275018331,2.016917371858436,0.8235078441284909
