diet_name,byproduct_type,inclusion_pct,n,fcr_mean,fcr_std,quitina_mean,quitina_std,proteina_mean,proteina_std,score_fcr,score_quitina,score_proteina,exploratory_equal_weight_score
Hoja15,hoja,15,3,1.6078283541870837,0.2911686629960656,9.298099229974042,1.7406680970720623,31.41711767126824,1.3029537635292077,0.916580863896717,0.4719884952331136,0.9167957306002187,0.7684550299100165
Orujo50,orujo,50,3,1.7332389395994479,0.38833102295429395,9.263182419668823,0.26501153513069536,32.14739293244424,0.9570343653066038,0.7546672079668989,0.4689260990654367,1.0,0.7411977690107786
Quinoa30,quinoa,30,3,1.5432158751887648,0.012914427470970534,7.173716554114538,0.9646747439274712,29.984110876218477,0.7673909690614148,1.0,0.2856684588849251,0.7535253998552995,0.6797312862467416
Orujo70,orujo,70,3,1.907479442750956,0.034917963987091495,15.31837764643533,1.4158137746843444,27.401729487019566,0.6656123205347956,0.5297107835666164,1.0,0.4593005120316601,0.6630037651994255
Control,control,0,3,1.6162818993734984,0.14875294570443642,3.9165836284826328,0.6804521358517581,31.936172635242002,0.3907196441167373,0.9056667580243958,0.0,0.9759345120320577,0.6272004233521512
Orujo30,orujo,30,3,1.8552545673297782,0.45552970078366967,8.908302799451452,0.7133110581759536,30.321931427470414,1.4553102232616741,0.5971366749466636,0.43780120594260047,0.7920151497475318,0.6089843435455986
Quinoa15,quinoa,15,3,1.7796223594098561,0.10118586400625242,6.8634024836162695,0.5219343147738443,30.767016480982818,1.315511046782882,0.6947830358985152,0.25845220940614455,0.8427261332178276,0.5986537928408291
Quinoa50,quinoa,50,3,2.028251161351505,0.17666571512900578,8.463661756696707,0.5386602927572294,29.829990639539393,1.3927037517726322,0.37378622243611526,0.3988037427315799,0.735965635237292,0.5028518668016624
Hoja30,hoja,30,3,1.7568198640407175,0.10697809687633343,9.74464630148317,1.2039614974671091,24.417325160791616,0.8982613933498248,0.7242226193068865,0.5111531276414888,0.11927094406099074,0.451548897003122
Orujo90,orujo,90,3,2.2704331505578503,0.16420804974051842,11.022775692415747,3.3004384461711394,26.546877432646642,2.4873266852189633,0.06111268579788219,0.6232520998663945,0.3619025247104668,0.3487557701249145
Hoja50,hoja,50,3,2.3177681184332983,0.4725004076785421,11.421126225950488,1.644351776226206,23.3704964288867,0.6865356800150682,0.0,0.6581896310046976,0.0,0.21939654366823255
