check,status,detail
dataset_exists,PASS,C:\Users\maria\Downloads\Jose_lenovo\TFG\surrogate_models\data\entomotive_datasets\productivity_hermetia_lote.csv
dataset_shape,PASS,"33 rows, 43 columns"
species,PASS,Hermetia
diet_replicates,PASS,11 diets; replicate range 3-3
target_FCR,PASS,FCR: 31 valid values
target_Quitina,PASS,QUITINA (%): 33 valid values
target_Proteina,PASS,PROTEINA (%): 33 valid values
features_REDUCED_FEATURES,PASS,"missing=[]; nulls={'inclusion_pct': 0, 'Proteína (%)_media': 0, 'Fibra (%)_media': 0, 'Grasa (%)_media': 0, 'TPC_dieta_media': 0}"
features_FULL_FEATURES,PASS,"missing=[]; nulls={'inclusion_pct': 0, 'Proteína (%)_media': 0, 'Grasa (%)_media': 0, 'Fibra (%)_media': 0, 'Cenizas (%)_media': 0, 'Carbohidratos (%)_media': 0, 'ratio_P_C': 0, 'ratio_P_F': 0, 'ratio_Fibra_Grasa': 0, 'TPC_dieta_media': 0}"
byproduct_type,PASS,"{'orujo': 12, 'hoja': 9, 'quinoa': 9, 'control': 3}"
folds_REDUCED_FEATURES_FCR_Dummy,PASS,"11 folds, 31 samples"
folds_REDUCED_FEATURES_FCR_GP_Linear,PASS,"11 folds, 31 samples"
folds_REDUCED_FEATURES_FCR_GP_RBF_NoARD,PASS,"11 folds, 31 samples"
folds_REDUCED_FEATURES_FCR_GP_Matern32_NoARD,PASS,"11 folds, 31 samples"
folds_REDUCED_FEATURES_FCR_GP_Matern52_NoARD,PASS,"11 folds, 31 samples"
folds_REDUCED_FEATURES_FCR_GP_Compuesto_NoARD,PASS,"11 folds, 31 samples"
folds_REDUCED_FEATURES_FCR_GP_RBF_ARD,PASS,"11 folds, 31 samples"
folds_REDUCED_FEATURES_Quitina_Dummy,PASS,"11 folds, 33 samples"
folds_REDUCED_FEATURES_Quitina_GP_Linear,PASS,"11 folds, 33 samples"
folds_REDUCED_FEATURES_Quitina_GP_RBF_NoARD,PASS,"11 folds, 33 samples"
folds_REDUCED_FEATURES_Quitina_GP_Matern32_NoARD,PASS,"11 folds, 33 samples"
folds_REDUCED_FEATURES_Quitina_GP_Matern52_NoARD,PASS,"11 folds, 33 samples"
folds_REDUCED_FEATURES_Quitina_GP_Compuesto_NoARD,PASS,"11 folds, 33 samples"
folds_REDUCED_FEATURES_Quitina_GP_RBF_ARD,PASS,"11 folds, 33 samples"
folds_REDUCED_FEATURES_Proteina_Dummy,PASS,"11 folds, 33 samples"
folds_REDUCED_FEATURES_Proteina_GP_Linear,PASS,"11 folds, 33 samples"
folds_REDUCED_FEATURES_Proteina_GP_RBF_NoARD,PASS,"11 folds, 33 samples"
folds_REDUCED_FEATURES_Proteina_GP_Matern32_NoARD,PASS,"11 folds, 33 samples"
folds_REDUCED_FEATURES_Proteina_GP_Matern52_NoARD,PASS,"11 folds, 33 samples"
folds_REDUCED_FEATURES_Proteina_GP_Compuesto_NoARD,PASS,"11 folds, 33 samples"
folds_REDUCED_FEATURES_Proteina_GP_Matern32_ARD,PASS,"11 folds, 33 samples"
folds_FULL_FEATURES_FCR_Dummy,PASS,"11 folds, 31 samples"
folds_FULL_FEATURES_FCR_GP_Linear,PASS,"11 folds, 31 samples"
folds_FULL_FEATURES_FCR_GP_RBF_NoARD,PASS,"11 folds, 31 samples"
folds_FULL_FEATURES_FCR_GP_Matern32_NoARD,PASS,"11 folds, 31 samples"
folds_FULL_FEATURES_FCR_GP_Matern52_NoARD,PASS,"11 folds, 31 samples"
folds_FULL_FEATURES_FCR_GP_Compuesto_NoARD,PASS,"11 folds, 31 samples"
folds_FULL_FEATURES_FCR_GP_Matern52_ARD,PASS,"11 folds, 31 samples"
folds_FULL_FEATURES_Quitina_Dummy,PASS,"11 folds, 33 samples"
folds_FULL_FEATURES_Quitina_GP_Linear,PASS,"11 folds, 33 samples"
folds_FULL_FEATURES_Quitina_GP_RBF_NoARD,PASS,"11 folds, 33 samples"
folds_FULL_FEATURES_Quitina_GP_Matern32_NoARD,PASS,"11 folds, 33 samples"
folds_FULL_FEATURES_Quitina_GP_Matern52_NoARD,PASS,"11 folds, 33 samples"
folds_FULL_FEATURES_Quitina_GP_Compuesto_NoARD,PASS,"11 folds, 33 samples"
folds_FULL_FEATURES_Quitina_GP_Matern52_ARD,PASS,"11 folds, 33 samples"
folds_FULL_FEATURES_Proteina_Dummy,PASS,"11 folds, 33 samples"
folds_FULL_FEATURES_Proteina_GP_Linear,PASS,"11 folds, 33 samples"
folds_FULL_FEATURES_Proteina_GP_RBF_NoARD,PASS,"11 folds, 33 samples"
folds_FULL_FEATURES_Proteina_GP_Matern32_NoARD,PASS,"11 folds, 33 samples"
folds_FULL_FEATURES_Proteina_GP_Matern52_NoARD,PASS,"11 folds, 33 samples"
folds_FULL_FEATURES_Proteina_GP_Compuesto_NoARD,PASS,"11 folds, 33 samples"
folds_FULL_FEATURES_Proteina_GP_Matern32_ARD,PASS,"11 folds, 33 samples"
